division,group,class,subclass,,,
RDF10 Natural sciences,,,,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,,,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010101 Algebra,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010102 Number theory,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010103 Algebraic and differential geometry,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010104 Metric and fractal geometry,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,"RDF1010105 Category theory, K theory, homological algebra",,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010106 Combinatorics and discrete mathematics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010107 Group theory and generalisations,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,"RDF1010108 Lie groups, harmonic and Fourier analysis",,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,"RDF1010109 Foundations, logic, and set theory of mathematics",,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010110 Modern analysis in mathematics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010111 Differential equations and integral equations in pure mathematics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010112 Classical analysis in pure mathematics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,RDF1010113 Topology,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10101 Pure mathematics,"RDF1010199 Pure mathematics, n.e.c.",,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010201 Approximation theory and asymptotic methods,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010202 Integral equations in applied mathematics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010203 Partial and ordinary differential equations,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010204 Mathematical modelling and simulation,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010205 Computational fluid mechanics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010206 Mathematical biology,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,"RDF1010207 Calculus of variations, systems theory and control theory",,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010208 Dynamical systems in applications,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010209 Mathematical operations research,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010210 Theoretical and applied mechanics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010211 Numerical analysis,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010212 Mathematical optimization,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,RDF1010213 Mathematical physics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10102 Applied mathematics,"RDF1010299 Applied mathematics, n.e.c.",,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010301 General statistical methods,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010302 Biostatistical methods,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010303 Statistical theory and modeling,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010304 Statistical inference,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010305 Statistical learning,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010306 High dimensional data analysis,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010307 Computational methods in statistics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010308 Actuarial science and mathematical finance,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010309 Spatial statistics,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010310 Survey methodology and analysis,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010311 Statistical methods for high throughput data,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,RDF1010312 Probability theory,,,
RDF10 Natural sciences,RDF101 Mathematics and statistics,RDF10103 Statistics,"RDF1010399 Statistics, n.e.c.",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,,,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020101 Adaptive agents,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020102 Intelligent robotics,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020103 Artificial life,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020104 Machine learning,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020105 Natural language processing,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020106 Knowledge representation,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020107 Planning and scheduling in artificial intelligence,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020108 Search methodologies in artificial intelligence,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020109 Distributed artificial intelligence,,,
