ProjectID;ProjectComitteeE;ProjectTitle;Agency;FiscalYear;CompetitionYear;ProgramID;Program;ProgramType;ProgramF;ProgramTypeF;PrincipalInvestigator;InterUnivColl;NofOrganization;OrganizationID;Affiliation;Organization;OrganizationGroup;OrganizationGroupF;Province;FProvince;Payment;InterUnivCollF;NofCollaborators;ID_Projet;Code_Comite;Code_Agence;Comite;FComite
CIHR79845;Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes;Defining interrelationships between brain region-specific structural plasticity and sleep electrophysiology via the integration of sex and learning;CIHR;2021-2022;2021;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;MONGRAIN, Valérie;Internal collaboration;0;2224;Université de Montréal;Hôpital du Sacré-Coeur de Montréal;Universities;Universités;Quebec;Québec;239127;Internal collaboration;3;CIHR13762;GLA;CIHR;Global Health Research Program Development and Planning Grants A;Cas speciaux - programmes de bourses
CIHR77179;Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes;Isolating the role of the raphe-ventral hippocampus serotonergic pathway in anxiety;CIHR;2021-2022;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Amilhon, Bénédicte;Internal collaboration;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;191250;Internal collaboration;1;CIHR11527;***;CIHR;Special Cases;Appui salarial de recherche en santé A
CIHR87431;Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes;Modeling cue-triggered relapse to cocaine use in rats;CIHR;2023-2024;2023;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;SAMAHA, Anne-Noël;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;148474;Without Collaborator;0;CIHR11191;DRA;CIHR;Doctoral Research Awards A;Cas speciaux - programmes de bourses
CIHR75428;Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes;Modeling the Transition to Cocaine Addiction in Rats;CIHR;2021-2022;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;SAMAHA, Anne-Noël;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;205070;Internal collaboration;1;CIHR11917;PS;CIHR;Pharmaceutical Sciences;Recherche sur l'information et la promotion sanitaires
CIHR73706;Behavioural Sciences - B: Clinical Behavioural Sciences;Brain connectivity-based optimization of non-invasive brain stimulation to improve cognitive symptoms in schizophrenia;CIHR;2019-2020;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;ORBAN, Pierre;Internal collaboration;0;100012;Université de Montréal;Centre de recherche Fernand-Seguin;Universities;Universités;Quebec;Québec;93713;Internal collaboration;7;CIHR13908;DRB;CIHR;Doctoral Research Awards - B;Bourses de recherche au doctorat - A
CIHR78437;Behavioural Sciences - B: Clinical Behavioural Sciences;Chronic non-cancer pain, substance use, and related harms: Towards an optimal treatment pathway for people who inject drugs in the context of the opioid crisis;CIHR;2022-2023;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;BRUNEAU, Julie;Internal collaboration;0;10577;Université de Montréal;Centre hospitalier de l`Université de Montréal;Universities;Universités;Quebec;Québec;298350;Internal collaboration;9;CIHR12823;CIA;CIHR;Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health;Sciences du comportement - C: Études du comportement, neuroscience et cognition
CIHR77439;Behavioural Sciences - B-2;Chemosensation in Parkinson's disease: Trigeminal sensitivity as a potential marker;CIHR;2023-2024;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;FRASNELLI, Johannes;Internal collaboration;0;2224;Université de Montréal;Hôpital du Sacré-Coeur de Montréal;Universities;Universités;Quebec;Québec;167535;Internal collaboration;5;CIHR13462;IT;CIHR;Immunology & Transplantation;Immunologie et transplantation
CIHR78519;Behavioural Sciences - B-2;Personalized seizure forecasting to improve epilepsy management;CIHR;2021-2022;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Nguyen, Dang K;Internal collaboration;0;10577;Université de Montréal;Centre hospitalier de l`Université de Montréal;Universities;Universités;Quebec;Québec;119340;Internal collaboration;4;CIHR13273;CA;CIHR;Cancer - A;Cas spéciaux
CIHR77215;Behavioural Sciences - B-2;The effects of neuropsychiatric CNVs on the integrity of brain structure and connectivity;CIHR;2020-2021;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Jacquemont, Sebastien;Internal collaboration;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;144394;Internal collaboration;6;CIHR13660;NSA;CIHR;Systems & Clinical Neurosciences - A;Pharmacologie et toxicologie
CIHR75399;Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition;Deafness Induced Brain Reorganization: a research program to examine how deafness modifies cortical functions and affects compensatory vision and auditory performance following cochlear implantation;CIHR;2023-2024;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;LEPORE, Franco;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;130050;Without Collaborator;0;CIHR11278;HPA;CIHR;Health Professional Awards - New Investigators;Appareil cardiovasculaire - B
