single_encoder,division,group,class,subclass
RDF10,Natural sciences,,,
RDF101,Natural sciences,Mathematics and statistics,,
RDF10101,Natural sciences,Mathematics and statistics,Pure mathematics,
RDF1010101,Natural sciences,Mathematics and statistics,Pure mathematics,Algebra
RDF1010102,Natural sciences,Mathematics and statistics,Pure mathematics,Number theory
RDF1010103,Natural sciences,Mathematics and statistics,Pure mathematics,Algebraic and differential geometry
RDF1010104,Natural sciences,Mathematics and statistics,Pure mathematics,Metric and fractal geometry
RDF1010105,Natural sciences,Mathematics and statistics,Pure mathematics,"Category theory, K theory, homological algebra"
RDF1010106,Natural sciences,Mathematics and statistics,Pure mathematics,Combinatorics and discrete mathematics
RDF1010107,Natural sciences,Mathematics and statistics,Pure mathematics,Group theory and generalisations
RDF1010108,Natural sciences,Mathematics and statistics,Pure mathematics,"Lie groups, harmonic and Fourier analysis"
RDF1010109,Natural sciences,Mathematics and statistics,Pure mathematics,"Foundations, logic, and set theory of mathematics"
RDF1010110,Natural sciences,Mathematics and statistics,Pure mathematics,Modern analysis in mathematics
RDF1010111,Natural sciences,Mathematics and statistics,Pure mathematics,Differential equations and integral equations in pure mathematics
RDF1010112,Natural sciences,Mathematics and statistics,Pure mathematics,Classical analysis in pure mathematics
RDF1010113,Natural sciences,Mathematics and statistics,Pure mathematics,Topology
RDF1010199,Natural sciences,Mathematics and statistics,Pure mathematics,"Pure mathematics, n.e.c."
RDF10102,Natural sciences,Mathematics and statistics,Applied mathematics,
RDF1010201,Natural sciences,Mathematics and statistics,Applied mathematics,Approximation theory and asymptotic methods
RDF1010202,Natural sciences,Mathematics and statistics,Applied mathematics,Integral equations in applied mathematics
RDF1010203,Natural sciences,Mathematics and statistics,Applied mathematics,Partial and ordinary differential equations
RDF1010204,Natural sciences,Mathematics and statistics,Applied mathematics,Mathematical modelling and simulation
RDF1010205,Natural sciences,Mathematics and statistics,Applied mathematics,Computational fluid mechanics
RDF1010206,Natural sciences,Mathematics and statistics,Applied mathematics,Mathematical biology
