;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.3526393175125122;RDF40;Agricultural and veterinary sciences;0.26855233311653137;RDF30;Medical, health and life sciences;0.13023647665977478;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9647722840309143;RDF301;Basic medicine and life sciences;0.780913233757019;RDF105;Earth and related environmental sciences;0.7620701193809509;RDF104;Chemical sciences;0.7553663849830627;RDF203;Electrical engineering, computer engineering, and information engineering;0.7325918674468994
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.5372836589813232;RDF40;Agricultural and veterinary sciences;0.2643562853336334;RDF30;Medical, health and life sciences;0.06904568523168564;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9573974013328552;RDF102;Computer and information sciences;0.9251285195350647;RDF508;Media and communications;0.8176836371421814;RDF104;Chemical sciences;0.5913103222846985;RDF105;Earth and related environmental sciences;0.5389832258224487
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF40;Agricultural and veterinary sciences;0.35173532366752625;RDF20-21;Engineering and technology;0.34628215432167053;RDF50;Social sciences;0.10975681990385056;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9784052968025208;RDF508;Media and communications;0.8838388919830322;RDF102;Computer and information sciences;0.8665565252304077;RDF104;Chemical sciences;0.8598688244819641;RDF204;Mechanical engineering;0.8446013927459717
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF20-21;Engineering and technology;0.5490571856498718;RDF40;Agricultural and veterinary sciences;0.1987582892179489;RDF30;Medical, health and life sciences;0.08927896618843079;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9680506587028503;RDF102;Computer and information sciences;0.7903685569763184;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.7497977614402771;RDF105;Earth and related environmental sciences;0.5355842709541321;RDF203;Electrical engineering, computer engineering, and information engineering;0.507415235042572
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.454923152923584;RDF40;Agricultural and veterinary sciences;0.32195937633514404;RDF50;Social sciences;0.07406499236822128;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9863368272781372;RDF205;Chemical engineering;0.9328826069831848;RDF508;Media and communications;0.9287487864494324;RDF211;Nano-technology;0.9129419922828674;RDF304;Medical biotechnology;0.8786790370941162
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF40;Agricultural and veterinary sciences;0.3813343048095703;RDF20-21;Engineering and technology;0.32347625494003296;RDF50;Social sciences;0.12687629461288452;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9866362810134888;RDF508;Media and communications;0.9266695380210876;RDF207;Medical and biomedical engineering;0.8500412106513977;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8381174206733704;RDF102;Computer and information sciences;0.8298370242118835
6;Design and Management of Fog Networks (Computer Science);RDF40;Agricultural and veterinary sciences;0.42393261194229126;RDF20-21;Engineering and technology;0.3478671610355377;RDF50;Social sciences;0.08174286037683487;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9816479682922363;RDF508;Media and communications;0.9303159713745117;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8342719078063965;RDF103;Physical sciences;0.8140528202056885;RDF102;Computer and information sciences;0.8133125305175781
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF40;Agricultural and veterinary sciences;0.3997279703617096;RDF20-21;Engineering and technology;0.25395849347114563;RDF50;Social sciences;0.14743083715438843;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9877113699913025;RDF205;Chemical engineering;0.973869264125824;RDF508;Media and communications;0.8885172009468079;RDF102;Computer and information sciences;0.8541562557220459;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8430893421173096
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF20-21;Engineering and technology;0.4497615098953247;RDF40;Agricultural and veterinary sciences;0.27533671259880066;RDF50;Social sciences;0.09750550240278244;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9812927842140198;RDF102;Computer and information sciences;0.8343393802642822;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.7895584106445312;RDF301;Basic medicine and life sciences;0.7791538238525391;RDF508;Media and communications;0.7629101872444153
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF20-21;Engineering and technology;0.39782318472862244;RDF40;Agricultural and veterinary sciences;0.32279685139656067;RDF50;Social sciences;0.12495160847902298;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9878293871879578;RDF508;Media and communications;0.9180405139923096;RDF102;Computer and information sciences;0.8701565265655518;RDF207;Medical and biomedical engineering;0.8631033897399902;RDF103;Physical sciences;0.8619744777679443
