;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.5969472527503967;RDF30;Medical, health and life sciences;0.10881838947534561;RDF60;Humanities and the arts;0.09528456628322601;RDF503;Education;0.6226672530174255;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.41750895977020264;RDF101;Mathematics and statistics;0.37068092823028564;RDF203;Electrical engineering, computer engineering, and information engineering;0.13352815806865692;RDF210;Industrial biotechnology;0.10922977328300476
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF60;Humanities and the arts;0.3528061509132385;RDF20-21;Engineering and technology;0.2286803126335144;RDF50;Social sciences;0.18810728192329407;RDF508;Media and communications;0.7297124266624451;RDF102;Computer and information sciences;0.03652811795473099;RDF509;Other social sciences;0.02190636470913887;RDF504;Sociology and related studies;0.007937992922961712;RDF503;Education;0.007606672588735819
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.4530799984931946;RDF10;Natural sciences;0.25242340564727783;RDF20-21;Engineering and technology;0.13185380399227142;RDF304;Medical biotechnology;0.04324442148208618;RDF301;Basic medicine and life sciences;0.029423581436276436;RDF203;Electrical engineering, computer engineering, and information engineering;0.006984649691730738;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.006488268729299307;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.003922447096556425
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.5424398183822632;RDF50;Social sciences;0.4171232581138611;RDF60;Humanities and the arts;0.01131032221019268;RDF504;Sociology and related studies;0.9872281551361084;RDF303;Health sciences;0.3688886761665344;RDF509;Other social sciences;0.10167860984802246;RDF305;Other medical sciences;0.02243562415242195;RDF302;Clinical medicine;0.01897803694009781
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF30;Medical, health and life sciences;0.48207172751426697;RDF20-21;Engineering and technology;0.40515297651290894;RDF10;Natural sciences;0.09354516863822937;RDF211;Nano-technology;0.9629528522491455;RDF104;Chemical sciences;0.8391417264938354;RDF210;Industrial biotechnology;0.7644522190093994;RDF304;Medical biotechnology;0.742888331413269;RDF205;Chemical engineering;0.3784160315990448
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.43739303946495056;RDF30;Medical, health and life sciences;0.1816217005252838;RDF60;Humanities and the arts;0.15027588605880737;RDF106;Biological sciences;0.33463019132614136;RDF301;Basic medicine and life sciences;0.0996781587600708;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.08258628845214844;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.05597776174545288;RDF208;Environmental engineering and related engineering;0.045068033039569855
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.4526371657848358;RDF30;Medical, health and life sciences;0.1868535578250885;RDF50;Social sciences;0.10440671443939209;RDF102;Computer and information sciences;0.9868280291557312;RDF203;Electrical engineering, computer engineering, and information engineering;0.113481305539608;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.008847354911267757;RDF304;Medical biotechnology;0.0044380780309438705;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.003899620845913887
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.8875769972801208;RDF30;Medical, health and life sciences;0.03899741172790527;RDF10;Natural sciences;0.034415096044540405;RDF205;Chemical engineering;0.7789437174797058;RDF210;Industrial biotechnology;0.16404718160629272;RDF209;Environmental biotechnology;0.11666333675384521;RDF304;Medical biotechnology;0.052436694502830505;RDF104;Chemical sciences;0.008994129486382008
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.987316906452179;RDF30;Medical, health and life sciences;0.0035331102553755045;RDF50;Social sciences;0.0027036438696086407;RDF605;Other humanities;0.2343190312385559;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.19314737617969513;RDF203;Electrical engineering, computer engineering, and information engineering;0.1732182651758194;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.1623302400112152;RDF601;History, archaeology and related studies;0.12335572391748428
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.4962564706802368;RDF20-21;Engineering and technology;0.24458758533000946;RDF10;Natural sciences;0.15714840590953827;RDF303;Health sciences;0.36296918988227844;RDF301;Basic medicine and life sciences;0.32766827940940857;RDF302;Clinical medicine;0.1746785044670105;RDF501;Psychology and cognitive sciences;0.15382704138755798;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.14614816009998322
