;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.5969472527503967;RDF503;Education;0.6226672530174255;RDF507;Social and economic geography;0.03032207489013672;RDF509;Other social sciences;0.020215967670083046
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF60;Humanities and the arts;0.3528061509132385;RDF605;Other humanities;0.0017580387648195028;RDF602;Languages and literature;0.0005571117508225143;RDF603;Philosophy;0.00041326190694235265
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.4530799984931946;RDF304;Medical biotechnology;0.04324442148208618;RDF301;Basic medicine and life sciences;0.029423581436276436;RDF302;Clinical medicine;0.003750788513571024
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.5424398183822632;RDF303;Health sciences;0.3688886761665344;RDF305;Other medical sciences;0.02243562415242195;RDF302;Clinical medicine;0.01897803694009781
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF30;Medical, health and life sciences;0.48207172751426697;RDF304;Medical biotechnology;0.742888331413269;RDF301;Basic medicine and life sciences;0.24258670210838318;RDF302;Clinical medicine;0.05703199282288551
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.43739303946495056;RDF106;Biological sciences;0.33463019132614136;RDF107;Other natural sciences;0.0065261488780379295;RDF105;Earth and related environmental sciences;0.0013458604225888848
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.4526371657848358;RDF203;Electrical engineering, computer engineering, and information engineering;0.113481305539608;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.003899620845913887;RDF210;Industrial biotechnology;0.0020789147820323706
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.8875769972801208;RDF205;Chemical engineering;0.7789437174797058;RDF210;Industrial biotechnology;0.16404718160629272;RDF209;Environmental biotechnology;0.11666333675384521
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.987316906452179;RDF605;Other humanities;0.2343190312385559;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.1623302400112152;RDF601;History, archaeology and related studies;0.12335572391748428
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.4962564706802368;RDF303;Health sciences;0.36296918988227844;RDF301;Basic medicine and life sciences;0.32766827940940857;RDF302;Clinical medicine;0.1746785044670105
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.8261179327964783;RDF303;Health sciences;0.09564469754695892;RDF302;Clinical medicine;0.06954174488782883;RDF301;Basic medicine and life sciences;0.003692853031679988
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.47104400396347046;RDF603;Philosophy;0.8465777039527893;RDF605;Other humanities;0.13546064496040344;RDF602;Languages and literature;0.0020547444000840187
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.49507004022598267;RDF106;Biological sciences;0.7107287049293518;RDF107;Other natural sciences;0.005888159386813641;RDF105;Earth and related environmental sciences;0.00031812931410968304
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF20-21;Engineering and technology;0.5536749958992004;RDF210;Industrial biotechnology;0.4030968248844147;RDF207;Medical and biomedical engineering;0.3858952224254608;RDF209;Environmental biotechnology;0.046795692294836044
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF30;Medical, health and life sciences;0.48528194427490234;RDF301;Basic medicine and life sciences;0.7771730422973633;RDF303;Health sciences;0.6663339734077454;RDF302;Clinical medicine;0.024307020008563995
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.4402660131454468;RDF302;Clinical medicine;0.11632411181926727;RDF301;Basic medicine and life sciences;0.08960386365652084;RDF304;Medical biotechnology;0.037987109273672104
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);RDF50;Social sciences;0.46217086911201477;RDF503;Education;0.9334308505058289;RDF504;Sociology and related studies;0.49231016635894775;RDF509;Other social sciences;0.015498881228268147
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);RDF10;Natural sciences;0.5487232208251953;RDF103;Physical sciences;0.9448422789573669;RDF107;Other natural sciences;0.011892050504684448;RDF105;Earth and related environmental sciences;0.00784623995423317
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF10;Natural sciences;0.582896888256073;RDF105;Earth and related environmental sciences;0.8463397026062012;RDF107;Other natural sciences;0.016673043370246887;RDF103;Physical sciences;0.011995770037174225
