;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Éducation et travail social);RDF20-21;Engineering and technology;0.5677279829978943;RDF50;Social sciences;0.3914337158203125;RDF60;Humanities and the arts;0.018536973744630814;RDF10;Natural sciences;0.011968370527029037;RDF30;Medical, health and life sciences;0.0072591835632920265;RDF40;Agricultural and veterinary sciences;0.0030737316701561213
1;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes (nan);RDF30;Medical, health and life sciences;0.6651661396026611;RDF50;Social sciences;0.2544487416744232;RDF10;Natural sciences;0.039635464549064636;RDF20-21;Engineering and technology;0.023483237251639366;RDF60;Humanities and the arts;0.016266362741589546;RDF40;Agricultural and veterinary sciences;0.0010000368347391486
2;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Éducation et travail social);RDF50;Social sciences;0.7209847569465637;RDF60;Humanities and the arts;0.14031630754470825;RDF20-21;Engineering and technology;0.09494276344776154;RDF10;Natural sciences;0.020532812923192978;RDF30;Medical, health and life sciences;0.01411198265850544;RDF40;Agricultural and veterinary sciences;0.009111380204558372
3;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Science politique et administration publique);RDF30;Medical, health and life sciences;0.5179799199104309;RDF50;Social sciences;0.43960389494895935;RDF20-21;Engineering and technology;0.02427360787987709;RDF60;Humanities and the arts;0.009213222190737724;RDF10;Natural sciences;0.0066360351629555225;RDF40;Agricultural and veterinary sciences;0.002293352270498872
4;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur (nan);RDF20-21;Engineering and technology;0.9728222489356995;RDF10;Natural sciences;0.023058025166392326;RDF50;Social sciences;0.001395602710545063;RDF30;Medical, health and life sciences;0.0011213982943445444;RDF60;Humanities and the arts;0.00102104467805475;RDF40;Agricultural and veterinary sciences;0.0005817737546749413
5;La nouvelle politique de la redistribution (Science politique et administration publique);RDF50;Social sciences;0.9321790933609009;RDF20-21;Engineering and technology;0.03862621635198593;RDF10;Natural sciences;0.009174530394375324;RDF60;Humanities and the arts;0.008754398673772812;RDF30;Medical, health and life sciences;0.007257651071995497;RDF40;Agricultural and veterinary sciences;0.004008055664598942
6;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Éducation et travail social);RDF60;Humanities and the arts;0.5342185497283936;RDF20-21;Engineering and technology;0.15305617451667786;RDF30;Medical, health and life sciences;0.1483471393585205;RDF50;Social sciences;0.14719268679618835;RDF10;Natural sciences;0.0125636151060462;RDF40;Agricultural and veterinary sciences;0.004621895961463451
7;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Géographie, urbanisme et domaines connexes);RDF20-21;Engineering and technology;0.9325850009918213;RDF60;Humanities and the arts;0.03504771366715431;RDF50;Social sciences;0.022984851151704788;RDF10;Natural sciences;0.007232503965497017;RDF40;Agricultural and veterinary sciences;0.0010750157525762916;RDF30;Medical, health and life sciences;0.0010750157525762916
8;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles) (nan);RDF60;Humanities and the arts;0.7377980947494507;RDF50;Social sciences;0.16567331552505493;RDF10;Natural sciences;0.04753578081727028;RDF40;Agricultural and veterinary sciences;0.019508644938468933;RDF20-21;Engineering and technology;0.015432607382535934;RDF30;Medical, health and life sciences;0.014051550067961216
9;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale (nan);RDF30;Medical, health and life sciences;0.6425660252571106;RDF50;Social sciences;0.2496742308139801;RDF60;Humanities and the arts;0.06906172633171082;RDF10;Natural sciences;0.02313278242945671;RDF40;Agricultural and veterinary sciences;0.008510074578225613;RDF20-21;Engineering and technology;0.007055100053548813
