;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.715987503528595;RDF50;Social sciences;0.2436024695634842;RDF60;Humanities and the arts;0.022047383710741997;RDF206;Materials engineering and resources engineering;0.34103360772132874;RDF212;Other engineering and technologies;0.023509453982114792;RDF205;Chemical engineering;0.0038844766095280647;RDF204;Mechanical engineering;0.0022170129232108593;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.0010817153379321098
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.9553172588348389;RDF50;Social sciences;0.022820711135864258;RDF60;Humanities and the arts;0.015684429556131363;RDF212;Other engineering and technologies;0.21667379140853882;RDF206;Materials engineering and resources engineering;0.057918086647987366;RDF203;Electrical engineering, computer engineering, and information engineering;0.001081715221516788;RDF205;Chemical engineering;0.0006070755189284682;RDF202;Industrial, systems and processes engineering;0.0001941132068168372
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.5834205150604248;RDF20-21;Engineering and technology;0.41370707750320435;RDF10;Natural sciences;0.0017173512605950236;RDF304;Medical biotechnology;0.8840392827987671;RDF301;Basic medicine and life sciences;0.037892427295446396;RDF303;Health sciences;0.013848611153662205;RDF302;Clinical medicine;0.0017274587880820036;RDF305;Other medical sciences;0.0015487611526623368
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.9160860776901245;RDF50;Social sciences;0.0774325430393219;RDF60;Humanities and the arts;0.004176548682153225;RDF303;Health sciences;0.9706878066062927;RDF305;Other medical sciences;0.14033624529838562;RDF301;Basic medicine and life sciences;0.04501553624868393;RDF302;Clinical medicine;0.016914913430809975;RDF304;Medical biotechnology;0.0026316738221794367
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.9787249565124512;RDF30;Medical, health and life sciences;0.015819614753127098;RDF10;Natural sciences;0.0033681904897093773;RDF211;Nano-technology;0.9813106656074524;RDF205;Chemical engineering;0.945801317691803;RDF212;Other engineering and technologies;0.021287351846694946;RDF203;Electrical engineering, computer engineering, and information engineering;0.006097562611103058;RDF206;Materials engineering and resources engineering;0.0003459915751591325
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.6194570660591125;RDF10;Natural sciences;0.27515098452568054;RDF20-21;Engineering and technology;0.06509929150342941;RDF303;Health sciences;0.09534946829080582;RDF301;Basic medicine and life sciences;0.07369627058506012;RDF304;Medical biotechnology;0.03185885399580002;RDF305;Other medical sciences;0.006903838366270065;RDF302;Clinical medicine;0.0014103584690019488
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.998090922832489;RDF10;Natural sciences;0.0006453866953961551;RDF60;Humanities and the arts;0.000416692957514897;RDF203;Electrical engineering, computer engineering, and information engineering;0.8774768114089966;RDF211;Nano-technology;0.0022872276604175568;RDF212;Other engineering and technologies;0.0013045065570622683;RDF202;Industrial, systems and processes engineering;6.205049430718645e-05;RDF208;Environmental engineering and related engineering;5.8291261666454375e-05
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9739213585853577;RDF30;Medical, health and life sciences;0.017977897077798843;RDF10;Natural sciences;0.006261724047362804;RDF211;Nano-technology;0.592430830001831;RDF205;Chemical engineering;0.4834045171737671;RDF206;Materials engineering and resources engineering;0.051082734018564224;RDF210;Industrial biotechnology;0.00857748556882143;RDF209;Environmental biotechnology;0.004007289186120033
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9828794002532959;RDF20-21;Engineering and technology;0.0093393474817276;RDF50;Social sciences;0.004209573846310377;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.35835304856300354;RDF605;Other humanities;0.1352320909500122;RDF601;History, archaeology and related studies;0.04535257816314697;RDF602;Languages and literature;0.007460643071681261;RDF603;Philosophy;0.000458312890259549
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.6630848050117493;RDF20-21;Engineering and technology;0.3231617212295532;RDF10;Natural sciences;0.011634026654064655;RDF303;Health sciences;0.9878528118133545;RDF302;Clinical medicine;0.9358174204826355;RDF305;Other medical sciences;0.8529354929924011;RDF301;Basic medicine and life sciences;0.7534666657447815;RDF304;Medical biotechnology;0.1766716092824936
