;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.8599414825439453;RDF10;Natural sciences;0.046656008809804916;RDF20-21;Engineering and technology;0.04215019568800926;RDF507;Social and economic geography;0.9522199630737305;RDF503;Education;0.9504110217094421;RDF101;Mathematics and statistics;0.8119744062423706;RDF509;Other social sciences;0.3239145278930664;RDF502;Economics and business administration;0.05707139894366264
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF50;Social sciences;0.36060795187950134;RDF20-21;Engineering and technology;0.32073137164115906;RDF60;Humanities and the arts;0.17574629187583923;RDF508;Media and communications;0.13161905109882355;RDF212;Other engineering and technologies;0.05033063143491745;RDF605;Other humanities;0.02080449089407921;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.01798621006309986;RDF603;Philosophy;0.004264634568244219
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.772783637046814;RDF20-21;Engineering and technology;0.0762176364660263;RDF50;Social sciences;0.0631866380572319;RDF106;Biological sciences;0.980280876159668;RDF207;Medical and biomedical engineering;0.9575961828231812;RDF301;Basic medicine and life sciences;0.6707161664962769;RDF304;Medical biotechnology;0.6696908473968506;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.03541072830557823
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.9492600560188293;RDF50;Social sciences;0.029344944283366203;RDF60;Humanities and the arts;0.012328735552728176;RDF303;Health sciences;0.9199307560920715;RDF305;Other medical sciences;0.1795305460691452;RDF302;Clinical medicine;0.12252320349216461;RDF605;Other humanities;0.06754669547080994;RDF507;Social and economic geography;0.06656918674707413
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.37931928038597107;RDF10;Natural sciences;0.22299028933048248;RDF50;Social sciences;0.17231354117393494;RDF211;Nano-technology;0.9805806279182434;RDF104;Chemical sciences;0.9777138233184814;RDF205;Chemical engineering;0.802555501461029;RDF102;Computer and information sciences;0.021948253735899925;RDF202;Industrial, systems and processes engineering;0.013848609291017056
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF50;Social sciences;0.3199107348918915;RDF10;Natural sciences;0.31742116808891296;RDF60;Humanities and the arts;0.11229922622442245;RDF106;Biological sciences;0.9870795607566833;RDF207;Medical and biomedical engineering;0.046378206461668015;RDF501;Psychology and cognitive sciences;0.04084571450948715;RDF605;Other humanities;0.03435869142413139;RDF301;Basic medicine and life sciences;0.013848609291017056
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.9384050369262695;RDF10;Natural sciences;0.018012333661317825;RDF60;Humanities and the arts;0.01614615134894848;RDF102;Computer and information sciences;0.9942697286605835;RDF203;Electrical engineering, computer engineering, and information engineering;0.8563323616981506;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.47804147005081177;RDF508;Media and communications;0.005060332361608744;RDF104;Chemical sciences;0.004198795650154352
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.8053136467933655;RDF10;Natural sciences;0.07036752253770828;RDF30;Medical, health and life sciences;0.0454326868057251;RDF104;Chemical sciences;0.9069831967353821;RDF211;Nano-technology;0.7217431664466858;RDF205;Chemical engineering;0.15765491127967834;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.04084571450948715;RDF106;Biological sciences;0.024053554981946945
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.6506656408309937;RDF50;Social sciences;0.10375769436359406;RDF20-21;Engineering and technology;0.08771470934152603;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.45060110092163086;RDF508;Media and communications;0.17384852468967438;RDF601;History, archaeology and related studies;0.1030244305729866;RDF104;Chemical sciences;0.09138210862874985;RDF106;Biological sciences;0.06608538329601288
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.8904023766517639;RDF10;Natural sciences;0.05344671756029129;RDF20-21;Engineering and technology;0.02045517787337303;RDF207;Medical and biomedical engineering;0.9883127212524414;RDF303;Health sciences;0.9632304906845093;RDF106;Biological sciences;0.9451974034309387;RDF202;Industrial, systems and processes engineering;0.934155285358429;RDF302;Clinical medicine;0.917302668094635
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.9516350626945496;RDF50;Social sciences;0.01490850280970335;RDF10;Natural sciences;0.014563147909939289;RDF207;Medical and biomedical engineering;0.9569571614265442;RDF303;Health sciences;0.9511422514915466;RDF302;Clinical medicine;0.7778065800666809;RDF507;Social and economic geography;0.2839799225330353;RDF305;Other medical sciences;0.1830088496208191
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.9377084970474243;RDF50;Social sciences;0.021626250818371773;RDF20-21;Engineering and technology;0.02063591219484806;RDF601;History, archaeology and related studies;0.03817827254533768;RDF605;Other humanities;0.008847354911267757;RDF603;Philosophy;0.001987774157896638;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.0018675660248845816;RDF105;Earth and related environmental sciences;0.0017274587880820036
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.7135373950004578;RDF30;Medical, health and life sciences;0.17900654673576355;RDF20-21;Engineering and technology;0.033765971660614014;RDF106;Biological sciences;0.9834704399108887;RDF107;Other natural sciences;0.2560870945453644;RDF207;Medical and biomedical engineering;0.07237401604652405;RDF305;Other medical sciences;0.032344333827495575;RDF304;Medical biotechnology;0.025760557502508163
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.5977430939674377;RDF20-21;Engineering and technology;0.15684694051742554;RDF10;Natural sciences;0.086281418800354;RDF211;Nano-technology;0.9818753004074097;RDF106;Biological sciences;0.9460011720657349;RDF207;Medical and biomedical engineering;0.8665847778320312;RDF304;Medical biotechnology;0.39280253648757935;RDF104;Chemical sciences;0.1946738362312317
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF30;Medical, health and life sciences;0.9416863918304443;RDF20-21;Engineering and technology;0.016848048195242882;RDF50;Social sciences;0.014187478460371494;RDF106;Biological sciences;0.9874720573425293;RDF207;Medical and biomedical engineering;0.985042929649353;RDF301;Basic medicine and life sciences;0.7819972634315491;RDF305;Other medical sciences;0.2839799225330353;RDF304;Medical biotechnology;0.2590751349925995
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.5536420345306396;RDF50;Social sciences;0.2906114161014557;RDF60;Humanities and the arts;0.06091546267271042;RDF303;Health sciences;0.9324533343315125;RDF508;Media and communications;0.8548846244812012;RDF507;Social and economic geography;0.8392075896263123;RDF504;Sociology and related studies;0.5370413661003113;RDF502;Economics and business administration;0.530722975730896
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);RDF50;Social sciences;0.9111933708190918;RDF60;Humanities and the arts;0.02861175686120987;RDF20-21;Engineering and technology;0.028168169781565666;RDF503;Education;0.9485372304916382;RDF507;Social and economic geography;0.2097932994365692;RDF509;Other social sciences;0.11240509152412415;RDF504;Sociology and related studies;0.06512753665447235;RDF104;Chemical sciences;0.02228618785738945
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);RDF10;Natural sciences;0.8793105483055115;RDF20-21;Engineering and technology;0.04552222043275833;RDF40;Agricultural and veterinary sciences;0.0249441210180521;RDF103;Physical sciences;0.9856076836585999;RDF104;Chemical sciences;0.09203285723924637;RDF211;Nano-technology;0.04146227613091469;RDF603;Philosophy;0.004264634568244219;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.004007289186120033
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF10;Natural sciences;0.4664481282234192;RDF20-21;Engineering and technology;0.2818121314048767;RDF50;Social sciences;0.08137378096580505;RDF105;Earth and related environmental sciences;0.9629528522491455;RDF104;Chemical sciences;0.9252299070358276;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9059898257255554;RDF103;Physical sciences;0.9029524326324463;RDF101;Mathematics and statistics;0.8152324557304382
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Political science and public administration);RDF50;Social sciences;0.8455288410186768;RDF20-21;Engineering and technology;0.05787709355354309;RDF60;Humanities and the arts;0.04873739928007126;RDF506;Political science and policy administration;0.07668380439281464;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.0072890776209533215;RDF505;Law and legal practice;0.0035936026833951473;RDF503;Education;0.003483423963189125;RDF508;Media and communications;0.003483423963189125
20;Intentions or affect: Which is a key driver of physical activity? Using ecological momentary assessment to understand the intention-behaviour gap in schizophrenia spectrum disorders (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.9512760043144226;RDF30;Medical, health and life sciences;0.020211298018693924;RDF20-21;Engineering and technology;0.013463626615703106;RDF303;Health sciences;0.046378206461668015;RDF509;Other social sciences;0.026963500306010246;RDF501;Psychology and cognitive sciences;0.025760559365153313;RDF507;Social and economic geography;0.020332353189587593;RDF504;Sociology and related studies;0.017712298780679703
21;Biophysical and genetic control of root growth;RDF10;Natural sciences;0.3478122353553772;RDF40;Agricultural and veterinary sciences;0.3267393708229065;RDF30;Medical, health and life sciences;0.29749956727027893;RDF404;Agricultural biotechnology and food sciences;0.9862576723098755;RDF106;Biological sciences;0.980280876159668;RDF401;Agriculture, forestry, and fisheries;0.9746286869049072;RDF304;Medical biotechnology;0.9246876835823059;RDF303;Health sciences;0.9175984859466553
22;Open-source numerical strategy for the analysis and redesign of turbomachine blades accounting for nonlinear structural interactions;RDF20-21;Engineering and technology;0.7611358165740967;RDF10;Natural sciences;0.06420977413654327;RDF50;Social sciences;0.06395944952964783;RDF204;Mechanical engineering;0.9709092378616333;RDF202;Industrial, systems and processes engineering;0.9312127232551575;RDF212;Other engineering and technologies;0.8783142566680908;RDF101;Mathematics and statistics;0.7890712022781372;RDF104;Chemical sciences;0.6270667314529419
23;Application of Boltzmann Transport Equation solutions to nuclear reactor physics and radiotherapy applications (Physics);RDF10;Natural sciences;0.53130042552948;RDF20-21;Engineering and technology;0.16981379687786102;RDF50;Social sciences;0.11136661469936371;RDF103;Physical sciences;0.9676556587219238;RDF101;Mathematics and statistics;0.0017546144081279635;RDF207;Medical and biomedical engineering;0.0012843081494793296;RDF603;Philosophy;0.0009399438858963549;RDF509;Other social sciences;0.0007916296017356217
24;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur;RDF20-21;Engineering and technology;0.48483023047447205;RDF50;Social sciences;0.24094773828983307;RDF60;Humanities and the arts;0.11248965561389923;RDF102;Computer and information sciences;0.9193533658981323;RDF104;Chemical sciences;0.6223445534706116;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.20370754599571228;RDF203;Electrical engineering, computer engineering, and information engineering;0.05877655744552612;RDF101;Mathematics and statistics;0.04023794084787369
25;Interdisciplinary Canadian Collaborative ME Research Network;RDF30;Medical, health and life sciences;0.5365883708000183;RDF20-21;Engineering and technology;0.31055349111557007;RDF50;Social sciences;0.04961889982223511;RDF207;Medical and biomedical engineering;0.980431318283081;RDF304;Medical biotechnology;0.9738443493843079;RDF508;Media and communications;0.9609517455101013;RDF204;Mechanical engineering;0.9509603977203369;RDF104;Chemical sciences;0.9015746116638184
26;La nouvelle politique de la redistribution (Political science and public administration);RDF50;Social sciences;0.9022772908210754;RDF60;Humanities and the arts;0.03325285762548447;RDF20-21;Engineering and technology;0.03027706779539585;RDF506;Political science and policy administration;0.26626187562942505;RDF605;Other humanities;0.01784873753786087;RDF507;Social and economic geography;0.00857748556882143;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.0037072529084980488;RDF508;Media and communications;0.0035380860790610313
27;Extracellular vesicles and their miR cargo to enhance ischemia-induced neovascularization in peripheral artery disease (Cardiovascular System – Vascular System);RDF30;Medical, health and life sciences;0.9474301338195801;RDF10;Natural sciences;0.016301434487104416;RDF20-21;Engineering and technology;0.015923812985420227;RDF304;Medical biotechnology;0.994088888168335;RDF207;Medical and biomedical engineering;0.9905142784118652;RDF106;Biological sciences;0.926835298538208;RDF211;Nano-technology;0.8040984272956848;RDF301;Basic medicine and life sciences;0.3030094504356384
28;Low-Dimensional Organic Materials for Energy, Electronic and Environment Applications;RDF20-21;Engineering and technology;0.8466551303863525;RDF10;Natural sciences;0.07967948168516159;RDF50;Social sciences;0.03157074376940727;RDF104;Chemical sciences;0.9755769371986389;RDF206;Materials engineering and resources engineering;0.788257360458374;RDF212;Other engineering and technologies;0.13251455128192902;RDF205;Chemical engineering;0.08181271702051163;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.07668380439281464
29;Histone protein supply and demand: life on a knife's edge (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.6469686627388;RDF10;Natural sciences;0.27934685349464417;RDF50;Social sciences;0.0273368451744318;RDF106;Biological sciences;0.9787126779556274;RDF104;Chemical sciences;0.9205043315887451;RDF304;Medical biotechnology;0.8101787567138672;RDF207;Medical and biomedical engineering;0.34587815403938293;RDF301;Basic medicine and life sciences;0.216342493891716
30;Bayesian deep-learning prediction with sparse graphs (Mathematics and Statistics);RDF10;Natural sciences;0.34322094917297363;RDF50;Social sciences;0.2173139601945877;RDF40;Agricultural and veterinary sciences;0.16149403154850006;RDF101;Mathematics and statistics;0.9850428700447083;RDF102;Computer and information sciences;0.19528697431087494;RDF202;Industrial, systems and processes engineering;0.04603390023112297;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.01798621006309986;RDF404;Agricultural biotechnology and food sciences;0.015424552373588085
31;At the Edge of Soft Power: French Saint-Simonians and Nineteenth-Century Visions of Development (History);RDF60;Humanities and the arts;0.688576877117157;RDF50;Social sciences;0.1072595939040184;RDF20-21;Engineering and technology;0.08484932035207748;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.5355842709541321;RDF601;History, archaeology and related studies;0.2979293465614319;RDF605;Other humanities;0.06560484319925308;RDF507;Social and economic geography;0.03358950465917587;RDF104;Chemical sciences;0.026355352252721786
32;Random walks on random graphs in high dimensions (Mathematics and Statistics);RDF10;Natural sciences;0.48109206557273865;RDF50;Social sciences;0.1635235697031021;RDF20-21;Engineering and technology;0.11595556885004044;RDF101;Mathematics and statistics;0.989908754825592;RDF102;Computer and information sciences;0.14804719388484955;RDF202;Industrial, systems and processes engineering;0.03993731364607811;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.032344333827495575;RDF104;Chemical sciences;0.018689308315515518
33;Roles, mechanisms of action and regulation of Hippo signaling in the testis (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.7827560901641846;RDF10;Natural sciences;0.10844668000936508;RDF50;Social sciences;0.039895303547382355;RDF106;Biological sciences;0.9825575351715088;RDF207;Medical and biomedical engineering;0.8661325573921204;RDF304;Medical biotechnology;0.3217795789241791;RDF303;Health sciences;0.15304216742515564;RDF301;Basic medicine and life sciences;0.12721827626228333
34;The role of the TGFB-SOX9 signaling pathway in brain angiogenesis (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.6529950499534607;RDF10;Natural sciences;0.17034393548965454;RDF50;Social sciences;0.06440319865942001;RDF106;Biological sciences;0.9885804057121277;RDF207;Medical and biomedical engineering;0.8610715866088867;RDF301;Basic medicine and life sciences;0.3590269684791565;RDF304;Medical biotechnology;0.19682618975639343;RDF303;Health sciences;0.07696083933115005
35;A randomized controlled trial comparing Virtual Reality Therapy to Supportive Therapy to reduce cannabis use in patients with psychotic disorders;RDF30;Medical, health and life sciences;0.9424555897712708;RDF50;Social sciences;0.028459692373871803;RDF10;Natural sciences;0.014764695428311825;RDF207;Medical and biomedical engineering;0.9832144975662231;RDF303;Health sciences;0.9742394685745239;RDF302;Clinical medicine;0.9374402761459351;RDF501;Psychology and cognitive sciences;0.7927852869033813;RDF301;Basic medicine and life sciences;0.7507355213165283
36;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Education and social work);RDF50;Social sciences;0.46270039677619934;RDF60;Humanities and the arts;0.3826567530632019;RDF20-21;Engineering and technology;0.08451123535633087;RDF503;Education;0.9790357947349548;RDF602;Languages and literature;0.086941659450531;RDF507;Social and economic geography;0.048136770725250244;RDF601;History, archaeology and related studies;0.02161533199250698;RDF504;Sociology and related studies;0.019568676128983498
37;Impact of insects by-products and phytogenics on the piglet's intestinal health;RDF40;Agricultural and veterinary sciences;0.4251761734485626;RDF10;Natural sciences;0.29221904277801514;RDF30;Medical, health and life sciences;0.23480457067489624;RDF402;Animal and dairy sciences;0.9943141341209412;RDF404;Agricultural biotechnology and food sciences;0.9860442876815796;RDF401;Agriculture, forestry, and fisheries;0.9860442876815796;RDF106;Biological sciences;0.957912266254425;RDF403;Veterinary sciences;0.8987665176391602
38;Response of the continental water cycle to greenhouse warming: evaluating, understanding and constraining Earth System Model projections (Geosciences);RDF10;Natural sciences;0.49465489387512207;RDF20-21;Engineering and technology;0.20459815859794617;RDF60;Humanities and the arts;0.10614413022994995;RDF105;Earth and related environmental sciences;0.9643214344978333;RDF208;Environmental engineering and related engineering;0.03676946833729744;RDF605;Other humanities;0.0038844766095280647;RDF202;Industrial, systems and processes engineering;0.002217013156041503;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.001957016997039318
39;Why Do Green Products Suffer from Low Consumer Preference? An Explanation Based on Ease of Benefit Visualization and Price Fairness Perceptions;RDF10;Natural sciences;0.44350144267082214;RDF20-21;Engineering and technology;0.27330002188682556;RDF50;Social sciences;0.1013052836060524;RDF104;Chemical sciences;0.9008792042732239;RDF502;Economics and business administration;0.8918110728263855;RDF202;Industrial, systems and processes engineering;0.8872045874595642;RDF205;Chemical engineering;0.8582440614700317;RDF404;Agricultural biotechnology and food sciences;0.556640625
40;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Geography, urban planning and related fields);RDF60;Humanities and the arts;0.38990330696105957;RDF50;Social sciences;0.27648288011550903;RDF20-21;Engineering and technology;0.1676953285932541;RDF507;Social and economic geography;0.3747906982898712;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.05665242299437523;RDF605;Other humanities;0.02145073004066944;RDF212;Other engineering and technologies;0.01057048887014389;RDF105;Earth and related environmental sciences;0.004399413242936134
41;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles);RDF60;Humanities and the arts;0.4192746579647064;RDF40;Agricultural and veterinary sciences;0.21922282874584198;RDF30;Medical, health and life sciences;0.19651007652282715;RDF508;Media and communications;0.986571729183197;RDF503;Education;0.9734434485435486;RDF404;Agricultural biotechnology and food sciences;0.966156005859375;RDF104;Chemical sciences;0.9381240010261536;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.936517596244812
42;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale;RDF30;Medical, health and life sciences;0.21963737905025482;RDF50;Social sciences;0.21623222529888153;RDF60;Humanities and the arts;0.20633023977279663;RDF303;Health sciences;0.8688267469406128;RDF507;Social and economic geography;0.8670357465744019;RDF508;Media and communications;0.818156361579895;RDF504;Sociology and related studies;0.539711058139801;RDF509;Other social sciences;0.4368622601032257
