;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.715987503528595;RDF50;Social sciences;0.2436024695634842;RDF60;Humanities and the arts;0.022047383710741997;RDF101;Mathematics and statistics;0.9697853922843933;RDF503;Education;0.9089417457580566;RDF502;Economics and business administration;0.896975576877594;RDF507;Social and economic geography;0.8918110728263855;RDF206;Materials engineering and resources engineering;0.34103360772132874
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.9553172588348389;RDF50;Social sciences;0.022820711135864258;RDF60;Humanities and the arts;0.015684429556131363;RDF508;Media and communications;0.8891444206237793;RDF212;Other engineering and technologies;0.21667379140853882;RDF206;Materials engineering and resources engineering;0.057918086647987366;RDF503;Education;0.05500528961420059;RDF102;Computer and information sciences;0.017442483454942703
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.5834205150604248;RDF20-21;Engineering and technology;0.41370707750320435;RDF10;Natural sciences;0.0017173512605950236;RDF207;Medical and biomedical engineering;0.9227612018585205;RDF304;Medical biotechnology;0.8840392827987671;RDF106;Biological sciences;0.5195213556289673;RDF301;Basic medicine and life sciences;0.037892427295446396;RDF303;Health sciences;0.013848611153662205
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.9160860776901245;RDF50;Social sciences;0.0774325430393219;RDF60;Humanities and the arts;0.004176548682153225;RDF303;Health sciences;0.9706878066062927;RDF501;Psychology and cognitive sciences;0.3063195049762726;RDF305;Other medical sciences;0.14033624529838562;RDF504;Sociology and related studies;0.10743746906518936;RDF509;Other social sciences;0.07369626313447952
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.9787249565124512;RDF30;Medical, health and life sciences;0.015819614753127098;RDF10;Natural sciences;0.0033681904897093773;RDF104;Chemical sciences;0.9913557767868042;RDF211;Nano-technology;0.9813106656074524;RDF205;Chemical engineering;0.945801317691803;RDF212;Other engineering and technologies;0.021287351846694946;RDF301;Basic medicine and life sciences;0.009936418384313583
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.6194570660591125;RDF10;Natural sciences;0.27515098452568054;RDF20-21;Engineering and technology;0.06509929150342941;RDF106;Biological sciences;0.986151397228241;RDF501;Psychology and cognitive sciences;0.9563089609146118;RDF207;Medical and biomedical engineering;0.10669058561325073;RDF303;Health sciences;0.09534946829080582;RDF301;Basic medicine and life sciences;0.07369627058506012
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.998090922832489;RDF10;Natural sciences;0.0006453866953961551;RDF60;Humanities and the arts;0.000416692957514897;RDF102;Computer and information sciences;0.9978510737419128;RDF203;Electrical engineering, computer engineering, and information engineering;0.8774768114089966;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.022457053884863853;RDF508;Media and communications;0.0035380860790610313;RDF211;Nano-technology;0.0022872276604175568
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9739213585853577;RDF30;Medical, health and life sciences;0.017977897077798843;RDF10;Natural sciences;0.006261724047362804;RDF104;Chemical sciences;0.7725306749343872;RDF211;Nano-technology;0.592430830001831;RDF205;Chemical engineering;0.4834045171737671;RDF206;Materials engineering and resources engineering;0.051082734018564224;RDF103;Physical sciences;0.04304284602403641
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9828794002532959;RDF20-21;Engineering and technology;0.0093393474817276;RDF50;Social sciences;0.004209573846310377;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.35835304856300354;RDF605;Other humanities;0.1352320909500122;RDF601;History, archaeology and related studies;0.04535257816314697;RDF503;Education;0.02655657008290291;RDF602;Languages and literature;0.007460643071681261
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.6630848050117493;RDF20-21;Engineering and technology;0.3231617212295532;RDF10;Natural sciences;0.011634026654064655;RDF303;Health sciences;0.9878528118133545;RDF207;Medical and biomedical engineering;0.9697854518890381;RDF302;Clinical medicine;0.9358174204826355;RDF106;Biological sciences;0.8661324977874756;RDF305;Other medical sciences;0.8529354929924011
