;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.715987503528595;RDF206;Materials engineering and resources engineering;0.34103360772132874;RDF212;Other engineering and technologies;0.023509453982114792;RDF205;Chemical engineering;0.0038844766095280647
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.9553172588348389;RDF212;Other engineering and technologies;0.21667379140853882;RDF206;Materials engineering and resources engineering;0.057918086647987366;RDF203;Electrical engineering, computer engineering, and information engineering;0.001081715221516788
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.5834205150604248;RDF304;Medical biotechnology;0.8840392827987671;RDF301;Basic medicine and life sciences;0.037892427295446396;RDF303;Health sciences;0.013848611153662205
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.9160860776901245;RDF303;Health sciences;0.9706878066062927;RDF305;Other medical sciences;0.14033624529838562;RDF301;Basic medicine and life sciences;0.04501553624868393
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.9787249565124512;RDF211;Nano-technology;0.9813106656074524;RDF205;Chemical engineering;0.945801317691803;RDF212;Other engineering and technologies;0.021287351846694946
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.6194570660591125;RDF303;Health sciences;0.09534946829080582;RDF301;Basic medicine and life sciences;0.07369627058506012;RDF304;Medical biotechnology;0.03185885399580002
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.998090922832489;RDF203;Electrical engineering, computer engineering, and information engineering;0.8774768114089966;RDF211;Nano-technology;0.0022872276604175568;RDF212;Other engineering and technologies;0.0013045065570622683
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9739213585853577;RDF211;Nano-technology;0.592430830001831;RDF205;Chemical engineering;0.4834045171737671;RDF206;Materials engineering and resources engineering;0.051082734018564224
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9828794002532959;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.35835304856300354;RDF605;Other humanities;0.1352320909500122;RDF601;History, archaeology and related studies;0.04535257816314697
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.6630848050117493;RDF303;Health sciences;0.9878528118133545;RDF302;Clinical medicine;0.9358174204826355;RDF305;Other medical sciences;0.8529354929924011
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.9787606000900269;RDF303;Health sciences;0.982557475566864;RDF302;Clinical medicine;0.9788748621940613;RDF301;Basic medicine and life sciences;0.35420966148376465
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.8331210613250732;RDF603;Philosophy;0.9914887547492981;RDF602;Languages and literature;0.18624301254749298;RDF601;History, archaeology and related studies;0.17809657752513885
