;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Éducation et travail social);RDF20-21;Engineering and technology;0.6644302606582642;RDF50;Social sciences;0.1383233368396759;RDF10;Natural sciences;0.12000147998332977;RDF60;Humanities and the arts;0.047246336936950684;RDF30;Medical, health and life sciences;0.017637435346841812;RDF40;Agricultural and veterinary sciences;0.012361104600131512
1;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes (nan);RDF30;Medical, health and life sciences;0.6366638541221619;RDF50;Social sciences;0.13332171738147736;RDF10;Natural sciences;0.1178860291838646;RDF60;Humanities and the arts;0.07337602227926254;RDF20-21;Engineering and technology;0.02445817179977894;RDF40;Agricultural and veterinary sciences;0.014294217340648174
2;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Éducation et travail social);RDF50;Social sciences;0.7198395133018494;RDF60;Humanities and the arts;0.1546156406402588;RDF20-21;Engineering and technology;0.03423094004392624;RDF10;Natural sciences;0.03291957080364227;RDF40;Agricultural and veterinary sciences;0.030564788728952408;RDF30;Medical, health and life sciences;0.02782955765724182
3;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Science politique et administration publique);RDF50;Social sciences;0.5939603447914124;RDF60;Humanities and the arts;0.1390264332294464;RDF20-21;Engineering and technology;0.10392281413078308;RDF30;Medical, health and life sciences;0.07485279440879822;RDF10;Natural sciences;0.05886749550700188;RDF40;Agricultural and veterinary sciences;0.029370084404945374
4;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur (nan);RDF20-21;Engineering and technology;0.9328094720840454;RDF10;Natural sciences;0.044228654354810715;RDF50;Social sciences;0.009038400836288929;RDF60;Humanities and the arts;0.005767643451690674;RDF30;Medical, health and life sciences;0.004081890918314457;RDF40;Agricultural and veterinary sciences;0.004073926247656345
5;La nouvelle politique de la redistribution (Science politique et administration publique);RDF50;Social sciences;0.5574734807014465;RDF10;Natural sciences;0.19097182154655457;RDF60;Humanities and the arts;0.08846390247344971;RDF20-21;Engineering and technology;0.08441285043954849;RDF30;Medical, health and life sciences;0.04121996834874153;RDF40;Agricultural and veterinary sciences;0.03745797276496887
6;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Éducation et travail social);RDF50;Social sciences;0.4037851393222809;RDF60;Humanities and the arts;0.3487650454044342;RDF10;Natural sciences;0.07782000303268433;RDF30;Medical, health and life sciences;0.057830918580293655;RDF20-21;Engineering and technology;0.05704563856124878;RDF40;Agricultural and veterinary sciences;0.05475321412086487
7;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Géographie, urbanisme et domaines connexes);RDF50;Social sciences;0.39950045943260193;RDF20-21;Engineering and technology;0.2130035161972046;RDF10;Natural sciences;0.15736599266529083;RDF60;Humanities and the arts;0.15163327753543854;RDF40;Agricultural and veterinary sciences;0.03940168768167496;RDF30;Medical, health and life sciences;0.039095062762498856
8;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles) (nan);RDF60;Humanities and the arts;0.4476476311683655;RDF50;Social sciences;0.24403627216815948;RDF10;Natural sciences;0.18802495300769806;RDF30;Medical, health and life sciences;0.055906690657138824;RDF40;Agricultural and veterinary sciences;0.045363131910562515;RDF20-21;Engineering and technology;0.0190212931483984
9;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale (nan);RDF50;Social sciences;0.4418777525424957;RDF60;Humanities and the arts;0.3160271644592285;RDF30;Medical, health and life sciences;0.1331625133752823;RDF10;Natural sciences;0.0743335634469986;RDF40;Agricultural and veterinary sciences;0.018412958830595016;RDF20-21;Engineering and technology;0.016186028718948364
10;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé (Études autochtones);RDF30;Medical, health and life sciences;0.6727311611175537;RDF50;Social sciences;0.12485358864068985;RDF10;Natural sciences;0.10061702132225037;RDF60;Humanities and the arts;0.04961485043168068;RDF40;Agricultural and veterinary sciences;0.03559691458940506;RDF20-21;Engineering and technology;0.016586465761065483
11;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie (Sciences sociales multi- ou interdisciplinaires);RDF50;Social sciences;0.9485107660293579;RDF60;Humanities and the arts;0.0227690227329731;RDF30;Medical, health and life sciences;0.010123444721102715;RDF10;Natural sciences;0.007249044254422188;RDF20-21;Engineering and technology;0.005939654540270567;RDF40;Agricultural and veterinary sciences;0.005408116616308689
