;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.6070044040679932;RDF10;Natural sciences;0.15467847883701324;RDF50;Social sciences;0.11217492818832397;RDF101;Mathematics and statistics;0.9470881819725037;RDF503;Education;0.9146344661712646;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.1683778017759323;RDF212;Other engineering and technologies;0.1544397622346878;RDF202;Industrial, systems and processes engineering;0.13106197118759155
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.9378116726875305;RDF50;Social sciences;0.024081401526927948;RDF60;Humanities and the arts;0.018590500578284264;RDF508;Media and communications;0.7196792364120483;RDF503;Education;0.14706450700759888;RDF102;Computer and information sciences;0.14620912075042725;RDF212;Other engineering and technologies;0.12956784665584564;RDF509;Other social sciences;0.12896330654621124
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF20-21;Engineering and technology;0.863757848739624;RDF30;Medical, health and life sciences;0.09911227971315384;RDF10;Natural sciences;0.012129826471209526;RDF102;Computer and information sciences;0.9751545786857605;RDF203;Electrical engineering, computer engineering, and information engineering;0.7952211499214172;RDF501;Psychology and cognitive sciences;0.3051793873310089;RDF304;Medical biotechnology;0.19605545699596405;RDF207;Medical and biomedical engineering;0.17766812443733215
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.5741902589797974;RDF50;Social sciences;0.33118194341659546;RDF60;Humanities and the arts;0.04978174343705177;RDF303;Health sciences;0.7519670128822327;RDF504;Sociology and related studies;0.6766198873519897;RDF503;Education;0.3505047559738159;RDF509;Other social sciences;0.17745423316955566;RDF501;Psychology and cognitive sciences;0.15084008872509003
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.9632058143615723;RDF10;Natural sciences;0.01631593331694603;RDF30;Medical, health and life sciences;0.013712584972381592;RDF205;Chemical engineering;0.9895311594009399;RDF104;Chemical sciences;0.9882221817970276;RDF211;Nano-technology;0.9654463529586792;RDF102;Computer and information sciences;0.19582466781139374;RDF202;Industrial, systems and processes engineering;0.13403742015361786
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.7420435547828674;RDF30;Medical, health and life sciences;0.10148448497056961;RDF50;Social sciences;0.09778748452663422;RDF106;Biological sciences;0.9762653112411499;RDF501;Psychology and cognitive sciences;0.5593389272689819;RDF103;Physical sciences;0.5533053874969482;RDF301;Basic medicine and life sciences;0.2109287977218628;RDF504;Sociology and related studies;0.1712689995765686
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.9112619161605835;RDF10;Natural sciences;0.05992840975522995;RDF50;Social sciences;0.010828842408955097;RDF102;Computer and information sciences;0.9984052181243896;RDF203;Electrical engineering, computer engineering, and information engineering;0.9168198704719543;RDF212;Other engineering and technologies;0.1200772151350975;RDF107;Other natural sciences;0.0753123089671135;RDF202;Industrial, systems and processes engineering;0.04268227890133858
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9067042469978333;RDF10;Natural sciences;0.03937368094921112;RDF30;Medical, health and life sciences;0.030995430424809456;RDF205;Chemical engineering;0.9593831896781921;RDF104;Chemical sciences;0.9188814759254456;RDF206;Materials engineering and resources engineering;0.25893452763557434;RDF107;Other natural sciences;0.1318424493074417;RDF305;Other medical sciences;0.09409338980913162
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9450204968452454;RDF50;Social sciences;0.025856802240014076;RDF20-21;Engineering and technology;0.008927149698138237;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8491598963737488;RDF605;Other humanities;0.07049557566642761;RDF602;Languages and literature;0.053157027810811996;RDF509;Other social sciences;0.052814021706581116;RDF504;Sociology and related studies;0.04023794084787369
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.655390739440918;RDF20-21;Engineering and technology;0.2192070633172989;RDF50;Social sciences;0.0487448126077652;RDF303;Health sciences;0.9692078828811646;RDF501;Psychology and cognitive sciences;0.9226218461990356;RDF106;Biological sciences;0.9027811288833618;RDF304;Medical biotechnology;0.8618873357772827;RDF207;Medical and biomedical engineering;0.8505306839942932
