;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.4727918207645416;RDF10;Natural sciences;0.2618665099143982;RDF20-21;Engineering and technology;0.21077556908130646;RDF101;Mathematics and statistics;0.9936733245849609;RDF503;Education;0.6833930611610413;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.6339876055717468;RDF103;Physical sciences;0.46626076102256775;RDF102;Computer and information sciences;0.41752520203590393
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.8254879713058472;RDF50;Social sciences;0.051700469106435776;RDF40;Agricultural and veterinary sciences;0.03443993628025055;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.6421029567718506;RDF508;Media and communications;0.6321125626564026;RDF104;Chemical sciences;0.6014618873596191;RDF102;Computer and information sciences;0.5815556049346924;RDF203;Electrical engineering, computer engineering, and information engineering;0.4596218168735504
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF20-21;Engineering and technology;0.7409393191337585;RDF30;Medical, health and life sciences;0.1270385980606079;RDF10;Natural sciences;0.04167864844202995;RDF102;Computer and information sciences;0.9429811239242554;RDF106;Biological sciences;0.7831189632415771;RDF301;Basic medicine and life sciences;0.7317780256271362;RDF203;Electrical engineering, computer engineering, and information engineering;0.6237350702285767;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.5221108198165894
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.478710800409317;RDF50;Social sciences;0.23361849784851074;RDF20-21;Engineering and technology;0.07921347767114639;RDF504;Sociology and related studies;0.6022955179214478;RDF509;Other social sciences;0.5470028519630432;RDF303;Health sciences;0.458212286233902;RDF507;Social and economic geography;0.3132621943950653;RDF501;Psychology and cognitive sciences;0.2715413570404053
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.7469506859779358;RDF30;Medical, health and life sciences;0.0988435447216034;RDF10;Natural sciences;0.07486647367477417;RDF104;Chemical sciences;0.9795506000518799;RDF102;Computer and information sciences;0.9316492676734924;RDF205;Chemical engineering;0.8850863575935364;RDF202;Industrial, systems and processes engineering;0.8832359313964844;RDF211;Nano-technology;0.773045003414154
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF20-21;Engineering and technology;0.30763351917266846;RDF10;Natural sciences;0.2742837071418762;RDF30;Medical, health and life sciences;0.16502656042575836;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.7902471423149109;RDF106;Biological sciences;0.7524675726890564;RDF301;Basic medicine and life sciences;0.7170614004135132;RDF103;Physical sciences;0.6860283613204956;RDF104;Chemical sciences;0.6569609642028809
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.7087831497192383;RDF40;Agricultural and veterinary sciences;0.09457464516162872;RDF10;Natural sciences;0.06808630377054214;RDF102;Computer and information sciences;0.9981505274772644;RDF202;Industrial, systems and processes engineering;0.9253312349319458;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.8410438895225525;RDF104;Chemical sciences;0.8302503228187561;RDF203;Electrical engineering, computer engineering, and information engineering;0.8010424375534058
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.5747454762458801;RDF30;Medical, health and life sciences;0.2024454027414322;RDF40;Agricultural and veterinary sciences;0.09958361089229584;RDF104;Chemical sciences;0.8837385773658752;RDF103;Physical sciences;0.7064942717552185;RDF106;Biological sciences;0.6893578767776489;RDF105;Earth and related environmental sciences;0.6839474439620972;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.6709586977958679
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.5682510733604431;RDF20-21;Engineering and technology;0.17432522773742676;RDF40;Agricultural and veterinary sciences;0.10623817145824432;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9222726225852966;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.7555468082427979;RDF104;Chemical sciences;0.7414868474006653;RDF102;Computer and information sciences;0.6214008927345276;RDF302;Clinical medicine;0.5689248442649841
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.4352366626262665;RDF20-21;Engineering and technology;0.3697414696216583;RDF10;Natural sciences;0.06247258558869362;RDF501;Psychology and cognitive sciences;0.9584211111068726;RDF301;Basic medicine and life sciences;0.953880250453949;RDF202;Industrial, systems and processes engineering;0.9479621648788452;RDF303;Health sciences;0.946793794631958;RDF302;Clinical medicine;0.9418148994445801
