;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.6070044040679932;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.1683778017759323;RDF212;Other engineering and technologies;0.1544397622346878;RDF202;Industrial, systems and processes engineering;0.13106197118759155
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.9378116726875305;RDF212;Other engineering and technologies;0.12956784665584564;RDF203;Electrical engineering, computer engineering, and information engineering;0.09577147662639618;RDF206;Materials engineering and resources engineering;0.03659692034125328
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF20-21;Engineering and technology;0.863757848739624;RDF203;Electrical engineering, computer engineering, and information engineering;0.7952211499214172;RDF207;Medical and biomedical engineering;0.17766812443733215;RDF212;Other engineering and technologies;0.08262329548597336
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.5741902589797974;RDF303;Health sciences;0.7519670128822327;RDF305;Other medical sciences;0.1155109778046608;RDF302;Clinical medicine;0.04360952600836754
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.9632058143615723;RDF205;Chemical engineering;0.9895311594009399;RDF211;Nano-technology;0.9654463529586792;RDF202;Industrial, systems and processes engineering;0.13403742015361786
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.7420435547828674;RDF106;Biological sciences;0.9762653112411499;RDF103;Physical sciences;0.5533053874969482;RDF107;Other natural sciences;0.12199922651052475
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.9112619161605835;RDF203;Electrical engineering, computer engineering, and information engineering;0.9168198704719543;RDF212;Other engineering and technologies;0.1200772151350975;RDF202;Industrial, systems and processes engineering;0.04268227890133858
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9067042469978333;RDF205;Chemical engineering;0.9593831896781921;RDF206;Materials engineering and resources engineering;0.25893452763557434;RDF212;Other engineering and technologies;0.08366550505161285
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9450204968452454;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8491598963737488;RDF605;Other humanities;0.07049557566642761;RDF602;Languages and literature;0.053157027810811996
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.655390739440918;RDF303;Health sciences;0.9692078828811646;RDF304;Medical biotechnology;0.8618873357772827;RDF302;Clinical medicine;0.7307224273681641
