;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Éducation et travail social);RDF20-21;Engineering and technology;0.7280768156051636;RDF50;Social sciences;0.17729392647743225;RDF10;Natural sciences;0.035150714218616486;RDF30;Medical, health and life sciences;0.0266369991004467;RDF60;Humanities and the arts;0.024443482980132103;RDF40;Agricultural and veterinary sciences;0.008398089557886124
1;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes (nan);RDF50;Social sciences;0.5231043100357056;RDF30;Medical, health and life sciences;0.26861441135406494;RDF10;Natural sciences;0.13622689247131348;RDF20-21;Engineering and technology;0.05375250056385994;RDF60;Humanities and the arts;0.012880045920610428;RDF40;Agricultural and veterinary sciences;0.005421892274171114
2;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Éducation et travail social);RDF50;Social sciences;0.9544342160224915;RDF30;Medical, health and life sciences;0.016120051965117455;RDF60;Humanities and the arts;0.009777305647730827;RDF10;Natural sciences;0.007467294577509165;RDF20-21;Engineering and technology;0.007351525127887726;RDF40;Agricultural and veterinary sciences;0.004849580116569996
3;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Science politique et administration publique);RDF50;Social sciences;0.9748557806015015;RDF30;Medical, health and life sciences;0.007012675050646067;RDF10;Natural sciences;0.006678484845906496;RDF60;Humanities and the arts;0.005656896624714136;RDF20-21;Engineering and technology;0.003124035196378827;RDF40;Agricultural and veterinary sciences;0.0026721288450062275
4;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur (nan);RDF20-21;Engineering and technology;0.8384472727775574;RDF10;Natural sciences;0.08825311064720154;RDF60;Humanities and the arts;0.03032127395272255;RDF50;Social sciences;0.024892931804060936;RDF30;Medical, health and life sciences;0.010478751733899117;RDF40;Agricultural and veterinary sciences;0.0076067582704126835
5;La nouvelle politique de la redistribution (Science politique et administration publique);RDF50;Social sciences;0.9737077951431274;RDF10;Natural sciences;0.005997049156576395;RDF30;Medical, health and life sciences;0.005744820926338434;RDF60;Humanities and the arts;0.005568071734160185;RDF20-21;Engineering and technology;0.004971728660166264;RDF40;Agricultural and veterinary sciences;0.004010531585663557
6;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Éducation et travail social);RDF50;Social sciences;0.8490099310874939;RDF60;Humanities and the arts;0.09968159347772598;RDF30;Medical, health and life sciences;0.029610048979520798;RDF10;Natural sciences;0.010353581979870796;RDF20-21;Engineering and technology;0.0065299225971102715;RDF40;Agricultural and veterinary sciences;0.004814862739294767
7;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Géographie, urbanisme et domaines connexes);RDF60;Humanities and the arts;0.47558268904685974;RDF50;Social sciences;0.19140364229679108;RDF20-21;Engineering and technology;0.18696977198123932;RDF10;Natural sciences;0.1103440597653389;RDF30;Medical, health and life sciences;0.02241775393486023;RDF40;Agricultural and veterinary sciences;0.013282081112265587
8;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles) (nan);RDF60;Humanities and the arts;0.7666652798652649;RDF50;Social sciences;0.11591882258653641;RDF30;Medical, health and life sciences;0.07400699704885483;RDF10;Natural sciences;0.03660036250948906;RDF20-21;Engineering and technology;0.004290929529815912;RDF40;Agricultural and veterinary sciences;0.0025175854098051786
9;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale (nan);RDF50;Social sciences;0.6115185618400574;RDF30;Medical, health and life sciences;0.3344306945800781;RDF60;Humanities and the arts;0.02681582421064377;RDF10;Natural sciences;0.021442165598273277;RDF20-21;Engineering and technology;0.0029274988919496536;RDF40;Agricultural and veterinary sciences;0.002865274203941226
10;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé (Études autochtones);RDF30;Medical, health and life sciences;0.5498605370521545;RDF50;Social sciences;0.30709129571914673;RDF10;Natural sciences;0.05097048729658127;RDF60;Humanities and the arts;0.04586847126483917;RDF40;Agricultural and veterinary sciences;0.027604132890701294;RDF20-21;Engineering and technology;0.018605072051286697
11;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie (Sciences sociales multi- ou interdisciplinaires);RDF50;Social sciences;0.9895471930503845;RDF30;Medical, health and life sciences;0.003493007505312562;RDF60;Humanities and the arts;0.002448056358844042;RDF10;Natural sciences;0.0020255499985069036;RDF20-21;Engineering and technology;0.001447595190256834;RDF40;Agricultural and veterinary sciences;0.0010385987116023898
12;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra (nan);RDF60;Humanities and the arts;0.9723894000053406;RDF20-21;Engineering and technology;0.017245130613446236;RDF10;Natural sciences;0.004831074271351099;RDF50;Social sciences;0.0025960085913538933;RDF30;Medical, health and life sciences;0.0018955745035782456;RDF40;Agricultural and veterinary sciences;0.0010427545057609677
13;Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui (Beaux-arts, recherche-création);RDF60;Humanities and the arts;0.8538643717765808;RDF50;Social sciences;0.07323824614286423;RDF20-21;Engineering and technology;0.04803081229329109;RDF10;Natural sciences;0.01324681006371975;RDF30;Medical, health and life sciences;0.009086625650525093;RDF40;Agricultural and veterinary sciences;0.0025331408251076937
