;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.845095694065094;RDF202;Industrial, systems and processes engineering;0.3553553521633148;RDF203;Electrical engineering, computer engineering, and information engineering;0.3144187927246094;RDF212;Other engineering and technologies;0.30306103825569153
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.6690497398376465;RDF212;Other engineering and technologies;0.18646512925624847;RDF203;Electrical engineering, computer engineering, and information engineering;0.0017207355704158545;RDF202;Industrial, systems and processes engineering;0.0004831183759961277
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF10;Natural sciences;0.7347220778465271;RDF106;Biological sciences;0.8919051885604858;RDF107;Other natural sciences;0.06091929227113724;RDF104;Chemical sciences;0.003350423416122794
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF50;Social sciences;0.6123794317245483;RDF504;Sociology and related studies;0.7991290092468262;RDF509;Other social sciences;0.1025291457772255;RDF501;Psychology and cognitive sciences;0.01774631068110466
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF10;Natural sciences;0.4570178687572479;RDF104;Chemical sciences;0.996292769908905;RDF107;Other natural sciences;0.025011597201228142;RDF103;Physical sciences;0.016996299847960472
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.7904363870620728;RDF106;Biological sciences;0.996234655380249;RDF107;Other natural sciences;0.8525676131248474;RDF104;Chemical sciences;0.0019570167642086744
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.9896308183670044;RDF203;Electrical engineering, computer engineering, and information engineering;0.8705422878265381;RDF212;Other engineering and technologies;0.16404718160629272;RDF202;Industrial, systems and processes engineering;0.009596455842256546
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.4842405915260315;RDF205;Chemical engineering;0.9447912573814392;RDF211;Nano-technology;0.060141824185848236;RDF206;Materials engineering and resources engineering;0.05582313984632492
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9400693774223328;RDF601;History, archaeology and related studies;0.7688199281692505;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.6514103412628174;RDF605;Other humanities;0.5309414863586426
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.7178386449813843;RDF303;Health sciences;0.8749346137046814;RDF301;Basic medicine and life sciences;0.6405234336853027;RDF304;Medical biotechnology;0.5713181495666504
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.9493295550346375;RDF303;Health sciences;0.9854964017868042;RDF302;Clinical medicine;0.6603914499282837;RDF305;Other medical sciences;0.16579560935497284
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF50;Social sciences;0.5640184283256531;RDF509;Other social sciences;0.20609398186206818;RDF504;Sociology and related studies;0.01795174740254879;RDF503;Education;0.008694534189999104
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.7488072514533997;RDF106;Biological sciences;0.9984052777290344;RDF107;Other natural sciences;0.2130495309829712;RDF104;Chemical sciences;0.003685674164444208
