;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.7215555906295776;RDF10;Natural sciences;0.16167041659355164;RDF50;Social sciences;0.06656032800674438;RDF101;Mathematics and statistics;0.9496693015098572;RDF207;Medical and biomedical engineering;0.9489172697067261;RDF102;Computer and information sciences;0.8419556617736816;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.7741568088531494;RDF503;Education;0.7671669721603394
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF50;Social sciences;0.4145594537258148;RDF20-21;Engineering and technology;0.1802254468202591;RDF60;Humanities and the arts;0.15688872337341309;RDF207;Medical and biomedical engineering;0.946547269821167;RDF508;Media and communications;0.5201078653335571;RDF107;Other natural sciences;0.274789035320282;RDF102;Computer and information sciences;0.22156113386154175;RDF405;Other agricultural sciences;0.10145583748817444
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF10;Natural sciences;0.6466997265815735;RDF30;Medical, health and life sciences;0.13248015940189362;RDF50;Social sciences;0.08752129226922989;RDF207;Medical and biomedical engineering;0.9652503728866577;RDF106;Biological sciences;0.8833366632461548;RDF305;Other medical sciences;0.33315056562423706;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.320661723613739;RDF303;Health sciences;0.2743513584136963
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF50;Social sciences;0.505312442779541;RDF30;Medical, health and life sciences;0.3840462267398834;RDF60;Humanities and the arts;0.04930514842271805;RDF207;Medical and biomedical engineering;0.9317736029624939;RDF303;Health sciences;0.9095862507820129;RDF504;Sociology and related studies;0.6627964973449707;RDF302;Clinical medicine;0.3517563045024872;RDF305;Other medical sciences;0.17335817217826843
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.5460416674613953;RDF10;Natural sciences;0.4065770208835602;RDF60;Humanities and the arts;0.014751830138266087;RDF104;Chemical sciences;0.9886023998260498;RDF205;Chemical engineering;0.973392903804779;RDF211;Nano-technology;0.9269676208496094;RDF207;Medical and biomedical engineering;0.8996074795722961;RDF107;Other natural sciences;0.37947899103164673
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.9048469066619873;RDF30;Medical, health and life sciences;0.048805542290210724;RDF50;Social sciences;0.015089752152562141;RDF106;Biological sciences;0.9854684472084045;RDF207;Medical and biomedical engineering;0.9718325138092041;RDF405;Other agricultural sciences;0.5897237658500671;RDF107;Other natural sciences;0.4783765375614166;RDF304;Medical biotechnology;0.3287718594074249
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.8482887744903564;RDF10;Natural sciences;0.11379880458116531;RDF30;Medical, health and life sciences;0.011935882270336151;RDF102;Computer and information sciences;0.9969897866249084;RDF207;Medical and biomedical engineering;0.9523530602455139;RDF203;Electrical engineering, computer engineering, and information engineering;0.8811554908752441;RDF103;Physical sciences;0.49511730670928955;RDF405;Other agricultural sciences;0.14475229382514954
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.8824055194854736;RDF10;Natural sciences;0.0697084590792656;RDF30;Medical, health and life sciences;0.018583983182907104;RDF207;Medical and biomedical engineering;0.9401335716247559;RDF104;Chemical sciences;0.9279531240463257;RDF205;Chemical engineering;0.8550057411193848;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.5540482401847839;RDF107;Other natural sciences;0.3748944103717804
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.7463001608848572;RDF50;Social sciences;0.08219324797391891;RDF30;Medical, health and life sciences;0.061559900641441345;RDF207;Medical and biomedical engineering;0.9686492681503296;RDF506;Political science and policy administration;0.644966185092926;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.48416668176651;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.4557587206363678;RDF107;Other natural sciences;0.42013487219810486
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.30431705713272095;RDF20-21;Engineering and technology;0.29366084933280945;RDF10;Natural sciences;0.25626063346862793;RDF303;Health sciences;0.9703243970870972;RDF207;Medical and biomedical engineering;0.9583432078361511;RDF106;Biological sciences;0.9400236010551453;RDF202;Industrial, systems and processes engineering;0.59906005859375;RDF105;Earth and related environmental sciences;0.5414940714836121
