;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.845095694065094;RDF50;Social sciences;0.07937754690647125;RDF10;Natural sciences;0.02849707379937172;RDF101;Mathematics and statistics;0.8970658183097839;RDF503;Education;0.6603914499282837;RDF202;Industrial, systems and processes engineering;0.3553553521633148;RDF203;Electrical engineering, computer engineering, and information engineering;0.3144187927246094;RDF212;Other engineering and technologies;0.30306103825569153
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.6690497398376465;RDF50;Social sciences;0.18044637143611908;RDF60;Humanities and the arts;0.10722461342811584;RDF508;Media and communications;0.91359943151474;RDF509;Other social sciences;0.18683578073978424;RDF212;Other engineering and technologies;0.18646512925624847;RDF605;Other humanities;0.10516457259654999;RDF102;Computer and information sciences;0.06717857718467712
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF10;Natural sciences;0.7347220778465271;RDF30;Medical, health and life sciences;0.21173842251300812;RDF50;Social sciences;0.025055022910237312;RDF106;Biological sciences;0.8919051885604858;RDF301;Basic medicine and life sciences;0.11343219876289368;RDF303;Health sciences;0.09459403157234192;RDF107;Other natural sciences;0.06091929227113724;RDF305;Other medical sciences;0.03799938037991524
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF50;Social sciences;0.6123794317245483;RDF30;Medical, health and life sciences;0.360351026058197;RDF10;Natural sciences;0.0140133211389184;RDF303;Health sciences;0.9221324324607849;RDF504;Sociology and related studies;0.7991290092468262;RDF305;Other medical sciences;0.19993211328983307;RDF605;Other humanities;0.12231338769197464;RDF509;Other social sciences;0.1025291457772255
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF10;Natural sciences;0.4570178687572479;RDF20-21;Engineering and technology;0.3861652910709381;RDF30;Medical, health and life sciences;0.10157691687345505;RDF104;Chemical sciences;0.996292769908905;RDF211;Nano-technology;0.9782811403274536;RDF205;Chemical engineering;0.9494354724884033;RDF210;Industrial biotechnology;0.09492910653352737;RDF212;Other engineering and technologies;0.05320621281862259
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.7904363870620728;RDF30;Medical, health and life sciences;0.2020120620727539;RDF50;Social sciences;0.0025404742918908596;RDF106;Biological sciences;0.996234655380249;RDF301;Basic medicine and life sciences;0.9678992629051208;RDF107;Other natural sciences;0.8525676131248474;RDF501;Psychology and cognitive sciences;0.19223590195178986;RDF207;Medical and biomedical engineering;0.15140382945537567
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.9896308183670044;RDF10;Natural sciences;0.005861618556082249;RDF30;Medical, health and life sciences;0.001749694813042879;RDF102;Computer and information sciences;0.9902350306510925;RDF203;Electrical engineering, computer engineering, and information engineering;0.8705422878265381;RDF503;Education;0.36136192083358765;RDF212;Other engineering and technologies;0.16404718160629272;RDF103;Physical sciences;0.04872181639075279
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.4842405915260315;RDF10;Natural sciences;0.4217439293861389;RDF30;Medical, health and life sciences;0.06624262034893036;RDF104;Chemical sciences;0.9826076626777649;RDF205;Chemical engineering;0.9447912573814392;RDF103;Physical sciences;0.2585131525993347;RDF211;Nano-technology;0.060141824185848236;RDF206;Materials engineering and resources engineering;0.05582313984632492
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9400693774223328;RDF50;Social sciences;0.027947526425123215;RDF20-21;Engineering and technology;0.01247451826930046;RDF601;History, archaeology and related studies;0.7688199281692505;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.6514103412628174;RDF605;Other humanities;0.5309414863586426;RDF603;Philosophy;0.12090512365102768;RDF504;Sociology and related studies;0.09459403157234192
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.7178386449813843;RDF10;Natural sciences;0.19684596359729767;RDF20-21;Engineering and technology;0.05287054181098938;RDF207;Medical and biomedical engineering;0.9060729742050171;RDF303;Health sciences;0.8749346137046814;RDF301;Basic medicine and life sciences;0.6405234336853027;RDF304;Medical biotechnology;0.5713181495666504;RDF106;Biological sciences;0.5356298089027405
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.9493295550346375;RDF50;Social sciences;0.02497963048517704;RDF10;Natural sciences;0.015018333680927753;RDF303;Health sciences;0.9854964017868042;RDF207;Medical and biomedical engineering;0.771413266658783;RDF302;Clinical medicine;0.6603914499282837;RDF305;Other medical sciences;0.16579560935497284;RDF509;Other social sciences;0.10379404574632645
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF50;Social sciences;0.5640184283256531;RDF60;Humanities and the arts;0.36203017830848694;RDF10;Natural sciences;0.025024432688951492;RDF603;Philosophy;0.9082117080688477;RDF605;Other humanities;0.3446088433265686;RDF509;Other social sciences;0.20609398186206818;RDF601;History, archaeology and related studies;0.12885363399982452;RDF602;Languages and literature;0.034618839621543884
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.7488072514533997;RDF30;Medical, health and life sciences;0.24453072249889374;RDF50;Social sciences;0.0021280378568917513;RDF106;Biological sciences;0.9984052777290344;RDF301;Basic medicine and life sciences;0.9323917627334595;RDF107;Other natural sciences;0.2130495309829712;RDF305;Other medical sciences;0.02748069353401661;RDF303;Health sciences;0.00777058070525527
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF10;Natural sciences;0.715325117111206;RDF30;Medical, health and life sciences;0.18180327117443085;RDF20-21;Engineering and technology;0.09005959331989288;RDF106;Biological sciences;0.9289262890815735;RDF301;Basic medicine and life sciences;0.42415851354599;RDF212;Other engineering and technologies;0.104021355509758;RDF107;Other natural sciences;0.06723979860544205;RDF207;Medical and biomedical engineering;0.049176424741744995
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF30;Medical, health and life sciences;0.6513845920562744;RDF10;Natural sciences;0.3320455551147461;RDF50;Social sciences;0.006268552970141172;RDF106;Biological sciences;0.9820826649665833;RDF303;Health sciences;0.8229730129241943;RDF305;Other medical sciences;0.08678673952817917;RDF301;Basic medicine and life sciences;0.07178616523742676;RDF107;Other natural sciences;0.056392036378383636
