;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Éducation et travail social);RDF20-21;Engineering and technology;0.5584332942962646;RDF50;Social sciences;0.27806907892227173;RDF30;Medical, health and life sciences;0.07075457274913788;RDF10;Natural sciences;0.04862885922193527;RDF60;Humanities and the arts;0.025978364050388336;RDF40;Agricultural and veterinary sciences;0.01813582144677639
1;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes (nan);RDF30;Medical, health and life sciences;0.33720165491104126;RDF50;Social sciences;0.22821775078773499;RDF60;Humanities and the arts;0.15873928368091583;RDF20-21;Engineering and technology;0.14208468794822693;RDF10;Natural sciences;0.08961168676614761;RDF40;Agricultural and veterinary sciences;0.044144924730062485
2;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Éducation et travail social);RDF50;Social sciences;0.6277151703834534;RDF60;Humanities and the arts;0.1350587010383606;RDF30;Medical, health and life sciences;0.0826403945684433;RDF20-21;Engineering and technology;0.05569928511977196;RDF40;Agricultural and veterinary sciences;0.052529431879520416;RDF10;Natural sciences;0.046357061713933945
3;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Science politique et administration publique);RDF50;Social sciences;0.753233790397644;RDF30;Medical, health and life sciences;0.06401027739048004;RDF10;Natural sciences;0.05794152244925499;RDF20-21;Engineering and technology;0.05539627745747566;RDF60;Humanities and the arts;0.04738294705748558;RDF40;Agricultural and veterinary sciences;0.02203511632978916
4;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur (nan);RDF20-21;Engineering and technology;0.5489001870155334;RDF30;Medical, health and life sciences;0.2574528455734253;RDF10;Natural sciences;0.13467808067798615;RDF50;Social sciences;0.021246830001473427;RDF60;Humanities and the arts;0.019008371978998184;RDF40;Agricultural and veterinary sciences;0.018713675439357758
5;La nouvelle politique de la redistribution (Science politique et administration publique);RDF50;Social sciences;0.5246999263763428;RDF20-21;Engineering and technology;0.26299965381622314;RDF30;Medical, health and life sciences;0.07646255940198898;RDF10;Natural sciences;0.06451380997896194;RDF60;Humanities and the arts;0.04416678473353386;RDF40;Agricultural and veterinary sciences;0.02715727500617504
6;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Éducation et travail social);RDF50;Social sciences;0.9518967270851135;RDF60;Humanities and the arts;0.013224741443991661;RDF10;Natural sciences;0.01089964248239994;RDF20-21;Engineering and technology;0.009214342571794987;RDF40;Agricultural and veterinary sciences;0.00817941501736641;RDF30;Medical, health and life sciences;0.006585193797945976
7;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Géographie, urbanisme et domaines connexes);RDF50;Social sciences;0.501969575881958;RDF60;Humanities and the arts;0.17170633375644684;RDF10;Natural sciences;0.12910541892051697;RDF20-21;Engineering and technology;0.08942871540784836;RDF40;Agricultural and veterinary sciences;0.058306142687797546;RDF30;Medical, health and life sciences;0.049483783543109894
8;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles) (nan);RDF60;Humanities and the arts;0.3892018795013428;RDF50;Social sciences;0.23436883091926575;RDF30;Medical, health and life sciences;0.17408309876918793;RDF40;Agricultural and veterinary sciences;0.09322547912597656;RDF10;Natural sciences;0.06495488435029984;RDF20-21;Engineering and technology;0.044165801256895065
9;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale (nan);RDF50;Social sciences;0.6880438923835754;RDF60;Humanities and the arts;0.10681086033582687;RDF30;Medical, health and life sciences;0.10561803728342056;RDF10;Natural sciences;0.040441978722810745;RDF20-21;Engineering and technology;0.03517092764377594;RDF40;Agricultural and veterinary sciences;0.02391432411968708
