;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);;;;;;;;;;;;;;;;;;
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);;;;;;;;;;;;;;;;;;
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);;;;;;;;;;;;;;;;;;
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);;;;;;;;;;;;;;;;;;
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);;;;;;;;;;;;;;;;;;
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);;;;;;;;;;;;;;;;;;
6;Design and Management of Fog Networks (Computer Science);;;;;;;;;;;;;;;;;;
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);;;;;;;;;;;;;;;;;;
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);;;;;;;;;;;;;;;;;;
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;;;;;;;;;;;;;;;;;;
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);;;;;;;;;;;;;;;;;;
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);;;;;;;;;;;;;;;;;;
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);;;;;;;;;;;;;;;;;;
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);;;;;;;;;;;;;;;;;;
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);;;;;;;;;;;;;;;;;;
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;;;;;;;;;;;;;;;;;;
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);;;;;;;;;;;;;;;;;;
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);;;;;;;;;;;;;;;;;;
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;;;;;;;;;;;;;;;;;;
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Political science and public administration);;;;;;;;;;;;;;;;;;
