;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.4032253921031952;RDF10;Natural sciences;0.36929839849472046;RDF50;Social sciences;0.07658205926418304;RDF204;Mechanical engineering;0.9977786540985107;RDF203;Electrical engineering, computer engineering, and information engineering;0.9933589100837708;RDF102;Computer and information sciences;0.993248462677002;RDF103;Physical sciences;0.9931627511978149;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9884250164031982
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.29623109102249146;RDF50;Social sciences;0.2262427806854248;RDF30;Medical, health and life sciences;0.1551908403635025;RDF508;Media and communications;0.9990800619125366;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9989677667617798;RDF203;Electrical engineering, computer engineering, and information engineering;0.9985191822052002;RDF102;Computer and information sciences;0.9985134601593018;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.998513400554657
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF20-21;Engineering and technology;0.5223236680030823;RDF10;Natural sciences;0.27150771021842957;RDF30;Medical, health and life sciences;0.0626574158668518;RDF102;Computer and information sciences;0.9933136701583862;RDF303;Health sciences;0.9923415184020996;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9873384833335876;RDF508;Media and communications;0.9707432985305786;RDF106;Biological sciences;0.9682464003562927
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.2645655572414398;RDF10;Natural sciences;0.2604638338088989;RDF20-21;Engineering and technology;0.24853633344173431;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9984899759292603;RDF102;Computer and information sciences;0.9980543851852417;RDF105;Earth and related environmental sciences;0.9969125986099243;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9955229163169861;RDF103;Physical sciences;0.9950563311576843
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF10;Natural sciences;0.26786255836486816;RDF20-21;Engineering and technology;0.2586091160774231;RDF30;Medical, health and life sciences;0.20820453763008118;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9984207153320312;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9981933236122131;RDF203;Electrical engineering, computer engineering, and information engineering;0.9981649518013;RDF202;Industrial, systems and processes engineering;0.9980199337005615;RDF205;Chemical engineering;0.9976494908332825
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF40;Agricultural and veterinary sciences;0.2876562476158142;RDF10;Natural sciences;0.2167106419801712;RDF50;Social sciences;0.1754976361989975;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9990871548652649;RDF508;Media and communications;0.9985017776489258;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.997279703617096;RDF302;Clinical medicine;0.9964550137519836;RDF203;Electrical engineering, computer engineering, and information engineering;0.9962345957756042
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.2891579270362854;RDF40;Agricultural and veterinary sciences;0.1924327164888382;RDF30;Medical, health and life sciences;0.15538087487220764;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9989309310913086;RDF102;Computer and information sciences;0.9963994026184082;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9929472804069519;RDF202;Industrial, systems and processes engineering;0.98873370885849;RDF203;Electrical engineering, computer engineering, and information engineering;0.9878058433532715
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.2531316876411438;RDF10;Natural sciences;0.21778737008571625;RDF30;Medical, health and life sciences;0.18519510328769684;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9985619187355042;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.998513400554657;RDF508;Media and communications;0.9976677298545837;RDF202;Industrial, systems and processes engineering;0.9957020282745361;RDF105;Earth and related environmental sciences;0.9947084188461304
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF50;Social sciences;0.26200273633003235;RDF20-21;Engineering and technology;0.19432398676872253;RDF30;Medical, health and life sciences;0.15432457625865936;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9988213181495667;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9978510141372681;RDF102;Computer and information sciences;0.9966036081314087;RDF203;Electrical engineering, computer engineering, and information engineering;0.9963924288749695;RDF508;Media and communications;0.9963358044624329
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF20-21;Engineering and technology;0.3519883453845978;RDF30;Medical, health and life sciences;0.2085462063550949;RDF10;Natural sciences;0.19438643753528595;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.99903404712677;RDF508;Media and communications;0.9988818168640137;RDF102;Computer and information sciences;0.9984176158905029;RDF103;Physical sciences;0.9967077970504761;RDF202;Industrial, systems and processes engineering;0.9940196871757507
