;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.6998093128204346;RDF50;Social sciences;0.16240845620632172;RDF30;Medical, health and life sciences;0.05459960550069809;RDF202;Industrial, systems and processes engineering;0.8762642741203308;RDF203;Electrical engineering, computer engineering, and information engineering;0.85207599401474;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.851335883140564;RDF105;Earth and related environmental sciences;0.8050963878631592;RDF102;Computer and information sciences;0.596080482006073
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.3887121081352234;RDF30;Medical, health and life sciences;0.22562937438488007;RDF50;Social sciences;0.19280265271663666;RDF508;Media and communications;0.9963071346282959;RDF203;Electrical engineering, computer engineering, and information engineering;0.9590777158737183;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.952175498008728;RDF102;Computer and information sciences;0.9194257855415344;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.8054026961326599
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.35502734780311584;RDF20-21;Engineering and technology;0.3354772627353668;RDF10;Natural sciences;0.13488483428955078;RDF304;Medical biotechnology;0.6547567844390869;RDF210;Industrial biotechnology;0.5377697348594666;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.5090321898460388;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.4863315522670746;RDF301;Basic medicine and life sciences;0.3440852165222168
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.7248812913894653;RDF50;Social sciences;0.20203077793121338;RDF60;Humanities and the arts;0.03804395720362663;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.7599719166755676;RDF303;Health sciences;0.5014896392822266;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.47122326493263245;RDF501;Psychology and cognitive sciences;0.327506959438324;RDF301;Basic medicine and life sciences;0.24644266068935394
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF10;Natural sciences;0.4173160493373871;RDF20-21;Engineering and technology;0.3601004183292389;RDF30;Medical, health and life sciences;0.1984783113002777;RDF104;Chemical sciences;0.9996855854988098;RDF205;Chemical engineering;0.9995158910751343;RDF211;Nano-technology;0.9990508556365967;RDF304;Medical biotechnology;0.9929336309432983;RDF207;Medical and biomedical engineering;0.9710742831230164
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.7440290451049805;RDF30;Medical, health and life sciences;0.13850794732570648;RDF40;Agricultural and veterinary sciences;0.052111655473709106;RDF106;Biological sciences;0.994347095489502;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.879845380783081;RDF501;Psychology and cognitive sciences;0.7534666657447815;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.735641598701477;RDF105;Earth and related environmental sciences;0.5148881673812866
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.7963621020317078;RDF30;Medical, health and life sciences;0.05002265051007271;RDF10;Natural sciences;0.04848361015319824;RDF102;Computer and information sciences;0.9948001503944397;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.4690034091472626;RDF203;Electrical engineering, computer engineering, and information engineering;0.40092524886131287;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.3487005829811096;RDF211;Nano-technology;0.12304913997650146
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9429469704627991;RDF30;Medical, health and life sciences;0.03966832533478737;RDF10;Natural sciences;0.005864586215466261;RDF205;Chemical engineering;0.995718777179718;RDF104;Chemical sciences;0.9894294738769531;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.8016253709793091;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.7835333347320557;RDF202;Industrial, systems and processes engineering;0.2541501522064209
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9180752038955688;RDF50;Social sciences;0.05887356027960777;RDF30;Medical, health and life sciences;0.010278885252773762;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9916033148765564;RDF605;Other humanities;0.9384068846702576;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.7859612703323364;RDF105;Earth and related environmental sciences;0.48950350284576416;RDF507;Social and economic geography;0.47828513383865356
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.547321617603302;RDF50;Social sciences;0.14208190143108368;RDF10;Natural sciences;0.12538684904575348;RDF103;Physical sciences;0.9453489780426025;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9375547766685486;RDF501;Psychology and cognitive sciences;0.5901888012886047;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.4916999936103821;RDF605;Other humanities;0.2871677279472351
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.9211747050285339;RDF50;Social sciences;0.02905256487429142;RDF10;Natural sciences;0.025551313534379005;RDF303;Health sciences;0.95855712890625;RDF304;Medical biotechnology;0.8326878547668457;RDF605;Other humanities;0.46230238676071167;RDF301;Basic medicine and life sciences;0.4189940392971039;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.364551305770874
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.3347216546535492;RDF30;Medical, health and life sciences;0.22915373742580414;RDF50;Social sciences;0.15235145390033722;RDF603;Philosophy;0.9778833985328674;RDF601;History, archaeology and related studies;0.8956824541091919;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8472108840942383;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.5880613923072815;RDF605;Other humanities;0.04809204488992691
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.6720020771026611;RDF30;Medical, health and life sciences;0.1410657912492752;RDF20-21;Engineering and technology;0.10911369323730469;RDF106;Biological sciences;0.9937466382980347;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.622229814529419;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.5119605660438538;RDF211;Nano-technology;0.4834654927253723;RDF107;Other natural sciences;0.2304052710533142
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.3099469542503357;RDF20-21;Engineering and technology;0.27459779381752014;RDF10;Natural sciences;0.26511168479919434;RDF106;Biological sciences;0.9404898881912231;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.709019124507904;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.6958549618721008;RDF207;Medical and biomedical engineering;0.46271586418151855;RDF304;Medical biotechnology;0.29665425419807434
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF30;Medical, health and life sciences;0.553292453289032;RDF10;Natural sciences;0.36250388622283936;RDF20-21;Engineering and technology;0.03375105932354927;RDF106;Biological sciences;0.9677929282188416;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8724561333656311;RDF207;Medical and biomedical engineering;0.6541218161582947;RDF304;Medical biotechnology;0.5981948971748352;RDF107;Other natural sciences;0.47895529866218567
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.37296897172927856;RDF50;Social sciences;0.21717940270900726;RDF60;Humanities and the arts;0.16433632373809814;RDF508;Media and communications;0.9788040518760681;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9690910577774048;RDF505;Law and legal practice;0.8608962297439575;RDF501;Psychology and cognitive sciences;0.8232929110527039;RDF202;Industrial, systems and processes engineering;0.7912973761558533
