;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.6998093128204346;RDF202;Industrial, systems and processes engineering;0.8762642741203308;RDF203;Electrical engineering, computer engineering, and information engineering;0.85207599401474;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.851335883140564
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.3887121081352234;RDF203;Electrical engineering, computer engineering, and information engineering;0.9590777158737183;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.8054026961326599;RDF212;Other engineering and technologies;0.6244938969612122
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.35502734780311584;RDF304;Medical biotechnology;0.6547567844390869;RDF301;Basic medicine and life sciences;0.3440852165222168;RDF302;Clinical medicine;0.3321479260921478
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.7248812913894653;RDF303;Health sciences;0.5014896392822266;RDF301;Basic medicine and life sciences;0.24644266068935394;RDF305;Other medical sciences;0.035846929997205734
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF10;Natural sciences;0.4173160493373871;RDF104;Chemical sciences;0.9996855854988098;RDF102;Computer and information sciences;0.8199113607406616;RDF107;Other natural sciences;0.31999731063842773
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.7440290451049805;RDF106;Biological sciences;0.994347095489502;RDF105;Earth and related environmental sciences;0.5148881673812866;RDF107;Other natural sciences;0.04818153381347656
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.7963621020317078;RDF203;Electrical engineering, computer engineering, and information engineering;0.40092524886131287;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.3487005829811096;RDF211;Nano-technology;0.12304913997650146
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9429469704627991;RDF205;Chemical engineering;0.995718777179718;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.8016253709793091;RDF202;Industrial, systems and processes engineering;0.2541501522064209
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9180752038955688;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9916033148765564;RDF605;Other humanities;0.9384068846702576;RDF603;Philosophy;0.03390795737504959
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.547321617603302;RDF305;Other medical sciences;0.19930800795555115;RDF303;Health sciences;0.18993394076824188;RDF301;Basic medicine and life sciences;0.042642392218112946
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.9211747050285339;RDF303;Health sciences;0.95855712890625;RDF304;Medical biotechnology;0.8326878547668457;RDF301;Basic medicine and life sciences;0.4189940392971039
