;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Éducation et travail social);RDF50;Social sciences;0.33932623267173767;RDF20-21;Engineering and technology;0.24574047327041626;RDF10;Natural sciences;0.19293883442878723;RDF30;Medical, health and life sciences;0.08857353031635284;RDF40;Agricultural and veterinary sciences;0.07555967569351196;RDF60;Humanities and the arts;0.05786130949854851
1;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes (nan);RDF30;Medical, health and life sciences;0.47024378180503845;RDF10;Natural sciences;0.14744965732097626;RDF50;Social sciences;0.11500007659196854;RDF20-21;Engineering and technology;0.09718190878629684;RDF60;Humanities and the arts;0.08534577488899231;RDF40;Agricultural and veterinary sciences;0.0847788006067276
2;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Éducation et travail social);RDF50;Social sciences;0.3068549633026123;RDF30;Medical, health and life sciences;0.21069125831127167;RDF60;Humanities and the arts;0.1756456345319748;RDF20-21;Engineering and technology;0.12601754069328308;RDF40;Agricultural and veterinary sciences;0.09653662890195847;RDF10;Natural sciences;0.0842539593577385
3;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Science politique et administration publique);RDF50;Social sciences;0.8904778957366943;RDF10;Natural sciences;0.08527456969022751;RDF30;Medical, health and life sciences;0.01044157799333334;RDF20-21;Engineering and technology;0.005631490610539913;RDF40;Agricultural and veterinary sciences;0.004552548285573721;RDF60;Humanities and the arts;0.003621965879574418
4;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur (nan);RDF20-21;Engineering and technology;0.5715181827545166;RDF10;Natural sciences;0.38901692628860474;RDF40;Agricultural and veterinary sciences;0.017650704830884933;RDF60;Humanities and the arts;0.013393010012805462;RDF30;Medical, health and life sciences;0.0069041261449456215;RDF50;Social sciences;0.0015170598635450006
5;La nouvelle politique de la redistribution (Science politique et administration publique);RDF50;Social sciences;0.5343416333198547;RDF10;Natural sciences;0.3408960998058319;RDF30;Medical, health and life sciences;0.04272344708442688;RDF20-21;Engineering and technology;0.03483940660953522;RDF40;Agricultural and veterinary sciences;0.024392610415816307;RDF60;Humanities and the arts;0.02280680648982525
6;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Éducation et travail social);RDF10;Natural sciences;0.8272773027420044;RDF50;Social sciences;0.10432804375886917;RDF60;Humanities and the arts;0.043323080986738205;RDF30;Medical, health and life sciences;0.022369395941495895;RDF40;Agricultural and veterinary sciences;0.0016930687706917524;RDF20-21;Engineering and technology;0.0010091278236359358
7;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Géographie, urbanisme et domaines connexes);RDF60;Humanities and the arts;0.7820544838905334;RDF50;Social sciences;0.05780145153403282;RDF20-21;Engineering and technology;0.04764798283576965;RDF10;Natural sciences;0.04151489958167076;RDF30;Medical, health and life sciences;0.03791236877441406;RDF40;Agricultural and veterinary sciences;0.033068813383579254
8;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles) (nan);RDF60;Humanities and the arts;0.6060289740562439;RDF30;Medical, health and life sciences;0.12051916122436523;RDF50;Social sciences;0.11280988156795502;RDF20-21;Engineering and technology;0.07987172901630402;RDF40;Agricultural and veterinary sciences;0.04162021726369858;RDF10;Natural sciences;0.039149973541498184
9;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale (nan);RDF30;Medical, health and life sciences;0.38740813732147217;RDF50;Social sciences;0.3815053105354309;RDF60;Humanities and the arts;0.08422514796257019;RDF10;Natural sciences;0.0647864043712616;RDF40;Agricultural and veterinary sciences;0.04904342070221901;RDF20-21;Engineering and technology;0.0330316424369812
10;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé (Études autochtones);RDF30;Medical, health and life sciences;0.4763668477535248;RDF10;Natural sciences;0.31355535984039307;RDF50;Social sciences;0.1441938281059265;RDF60;Humanities and the arts;0.02933693677186966;RDF40;Agricultural and veterinary sciences;0.025686344131827354;RDF20-21;Engineering and technology;0.01086073275655508
11;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie (Sciences sociales multi- ou interdisciplinaires);RDF50;Social sciences;0.6036105751991272;RDF10;Natural sciences;0.2213437408208847;RDF30;Medical, health and life sciences;0.09630262106657028;RDF20-21;Engineering and technology;0.035645440220832825;RDF60;Humanities and the arts;0.030191631987690926;RDF40;Agricultural and veterinary sciences;0.012905973941087723
12;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra (nan);RDF20-21;Engineering and technology;0.6002379059791565;RDF60;Humanities and the arts;0.19435644149780273;RDF50;Social sciences;0.07266639918088913;RDF10;Natural sciences;0.056308917701244354;RDF30;Medical, health and life sciences;0.0542190819978714;RDF40;Agricultural and veterinary sciences;0.022211246192455292
