;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.6983532905578613;RDF10;Natural sciences;0.09829789400100708;RDF20-21;Engineering and technology;0.08294352144002914;RDF101;Mathematics and statistics;0.5852648019790649;RDF503;Education;0.3029576539993286;RDF203;Electrical engineering, computer engineering, and information engineering;0.04673575982451439;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.0453374870121479;RDF202;Industrial, systems and processes engineering;0.008864887058734894
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.5245690941810608;RDF50;Social sciences;0.28253424167633057;RDF60;Humanities and the arts;0.09881976991891861;RDF508;Media and communications;0.9990692138671875;RDF102;Computer and information sciences;0.7173319458961487;RDF509;Other social sciences;0.4877609312534332;RDF203;Electrical engineering, computer engineering, and information engineering;0.44730302691459656;RDF212;Other engineering and technologies;0.4091985523700714
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.4826086461544037;RDF10;Natural sciences;0.22403061389923096;RDF20-21;Engineering and technology;0.1623907834291458;RDF304;Medical biotechnology;0.7917835712432861;RDF301;Basic medicine and life sciences;0.6939520835876465;RDF207;Medical and biomedical engineering;0.2914799153804779;RDF106;Biological sciences;0.00344431702978909;RDF107;Other natural sciences;0.003098098561167717
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.595928966999054;RDF50;Social sciences;0.27119988203048706;RDF10;Natural sciences;0.04652183875441551;RDF504;Sociology and related studies;0.7681120038032532;RDF302;Clinical medicine;0.3196670413017273;RDF605;Other humanities;0.011837608180940151;RDF509;Other social sciences;0.010309416800737381;RDF303;Health sciences;0.005043271463364363
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.5996312499046326;RDF30;Medical, health and life sciences;0.2519024610519409;RDF10;Natural sciences;0.0987616702914238;RDF104;Chemical sciences;0.9958264827728271;RDF211;Nano-technology;0.9946672320365906;RDF205;Chemical engineering;0.9706313014030457;RDF304;Medical biotechnology;0.9208934307098389;RDF210;Industrial biotechnology;0.902478039264679
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.3965887725353241;RDF30;Medical, health and life sciences;0.310046911239624;RDF40;Agricultural and veterinary sciences;0.1935560256242752;RDF301;Basic medicine and life sciences;0.8606311678886414;RDF106;Biological sciences;0.8057305216789246;RDF501;Psychology and cognitive sciences;0.7561378479003906;RDF304;Medical biotechnology;0.7016624212265015;RDF403;Veterinary sciences;0.6469867825508118
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.8642439842224121;RDF50;Social sciences;0.036135293543338776;RDF10;Natural sciences;0.03396426886320114;RDF102;Computer and information sciences;0.999662458896637;RDF212;Other engineering and technologies;0.20516279339790344;RDF107;Other natural sciences;0.012840338051319122;RDF203;Electrical engineering, computer engineering, and information engineering;0.003056276123970747;RDF509;Other social sciences;0.0007454252918250859
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9881299734115601;RDF30;Medical, health and life sciences;0.004218256566673517;RDF10;Natural sciences;0.003821967402473092;RDF205;Chemical engineering;0.9977952241897583;RDF206;Materials engineering and resources engineering;0.7206757068634033;RDF210;Industrial biotechnology;0.6185116171836853;RDF304;Medical biotechnology;0.5467917919158936;RDF207;Medical and biomedical engineering;0.4561983346939087
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9937145113945007;RDF50;Social sciences;0.0025921878404915333;RDF10;Natural sciences;0.0014185545733198524;RDF605;Other humanities;0.57430499792099;RDF601;History, archaeology and related studies;0.43856239318847656;RDF602;Languages and literature;0.2862347662448883;RDF504;Sociology and related studies;0.18820826709270477;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.15077950060367584
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF10;Natural sciences;0.36906588077545166;RDF30;Medical, health and life sciences;0.34740978479385376;RDF20-21;Engineering and technology;0.12171586602926254;RDF301;Basic medicine and life sciences;0.7844418287277222;RDF302;Clinical medicine;0.6177445650100708;RDF501;Psychology and cognitive sciences;0.3023208677768707;RDF207;Medical and biomedical engineering;0.29711297154426575;RDF303;Health sciences;0.27650731801986694
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.6265819668769836;RDF20-21;Engineering and technology;0.09111878275871277;RDF10;Natural sciences;0.08381534367799759;RDF602;Languages and literature;0.07044562697410583;RDF605;Other humanities;0.014390894211828709;RDF501;Psychology and cognitive sciences;0.01188603974878788;RDF504;Sociology and related studies;0.011639093048870564;RDF503;Education;0.008135752752423286
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.6307642459869385;RDF50;Social sciences;0.12056490033864975;RDF10;Natural sciences;0.0900089368224144;RDF603;Philosophy;0.9423844814300537;RDF605;Other humanities;0.4787531793117523;RDF509;Other social sciences;0.007584963459521532;RDF503;Education;0.00064495560945943;RDF601;History, archaeology and related studies;0.00023965156287886202
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.5338932275772095;RDF10;Natural sciences;0.2738761603832245;RDF20-21;Engineering and technology;0.070279560983181;RDF106;Biological sciences;0.9325315356254578;RDF304;Medical biotechnology;0.403097540140152;RDF301;Basic medicine and life sciences;0.2700779438018799;RDF209;Environmental biotechnology;0.19889165461063385;RDF107;Other natural sciences;0.06677708029747009
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF20-21;Engineering and technology;0.5810548067092896;RDF10;Natural sciences;0.23597514629364014;RDF30;Medical, health and life sciences;0.12704704701900482;RDF301;Basic medicine and life sciences;0.4406661093235016;RDF304;Medical biotechnology;0.38905438780784607;RDF212;Other engineering and technologies;0.2546651363372803;RDF207;Medical and biomedical engineering;0.19428901374340057;RDF106;Biological sciences;0.0985676720738411
