;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.6983532905578613;RDF10;Natural sciences;0.09829789400100708;RDF20-21;Engineering and technology;0.08294352144002914;RDF503;Education;0.3029576539993286;RDF504;Sociology and related studies;0.004625369794666767;RDF509;Other social sciences;0.0016199013916775584;RDF507;Social and economic geography;0.00018999582971446216;RDF502;Economics and business administration;5.863785554538481e-05
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.5245690941810608;RDF50;Social sciences;0.28253424167633057;RDF60;Humanities and the arts;0.09881976991891861;RDF203;Electrical engineering, computer engineering, and information engineering;0.44730302691459656;RDF212;Other engineering and technologies;0.4091985523700714;RDF211;Nano-technology;0.0009459475404582918;RDF204;Mechanical engineering;6.347959424601868e-05;RDF208;Environmental engineering and related engineering;4.467319376999512e-05
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.4826086461544037;RDF10;Natural sciences;0.22403061389923096;RDF20-21;Engineering and technology;0.1623907834291458;RDF304;Medical biotechnology;0.7917835712432861;RDF301;Basic medicine and life sciences;0.6939520835876465;RDF305;Other medical sciences;0.0012020922731608152;RDF302;Clinical medicine;0.0007530481670983136;RDF303;Health sciences;0.0001395234139636159
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.595928966999054;RDF50;Social sciences;0.27119988203048706;RDF10;Natural sciences;0.04652183875441551;RDF302;Clinical medicine;0.3196670413017273;RDF303;Health sciences;0.005043271463364363;RDF305;Other medical sciences;0.004081603605300188;RDF301;Basic medicine and life sciences;0.00024798326194286346;RDF304;Medical biotechnology;2.5890116376103833e-05
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.5996312499046326;RDF30;Medical, health and life sciences;0.2519024610519409;RDF10;Natural sciences;0.0987616702914238;RDF211;Nano-technology;0.9946672320365906;RDF205;Chemical engineering;0.9706313014030457;RDF210;Industrial biotechnology;0.902478039264679;RDF212;Other engineering and technologies;0.6552309393882751;RDF202;Industrial, systems and processes engineering;0.48711076378822327
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.3965887725353241;RDF30;Medical, health and life sciences;0.310046911239624;RDF40;Agricultural and veterinary sciences;0.1935560256242752;RDF106;Biological sciences;0.8057305216789246;RDF107;Other natural sciences;0.12024593353271484;RDF105;Earth and related environmental sciences;0.11207634955644608;RDF103;Physical sciences;0.009649607352912426;RDF102;Computer and information sciences;0.005164135713130236
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.8642439842224121;RDF50;Social sciences;0.036135293543338776;RDF10;Natural sciences;0.03396426886320114;RDF212;Other engineering and technologies;0.20516279339790344;RDF203;Electrical engineering, computer engineering, and information engineering;0.003056276123970747;RDF211;Nano-technology;3.416211256990209e-05;RDF202;Industrial, systems and processes engineering;3.0789706215728074e-05;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;1.945259646163322e-05
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9881299734115601;RDF30;Medical, health and life sciences;0.004218256566673517;RDF10;Natural sciences;0.003821967402473092;RDF205;Chemical engineering;0.9977952241897583;RDF206;Materials engineering and resources engineering;0.7206757068634033;RDF210;Industrial biotechnology;0.6185116171836853;RDF207;Medical and biomedical engineering;0.4561983346939087;RDF208;Environmental engineering and related engineering;0.45096224546432495
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9937145113945007;RDF50;Social sciences;0.0025921878404915333;RDF10;Natural sciences;0.0014185545733198524;RDF605;Other humanities;0.57430499792099;RDF601;History, archaeology and related studies;0.43856239318847656;RDF602;Languages and literature;0.2862347662448883;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.15077950060367584;RDF603;Philosophy;0.0014853262109681964
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF10;Natural sciences;0.36906588077545166;RDF30;Medical, health and life sciences;0.34740978479385376;RDF20-21;Engineering and technology;0.12171586602926254;RDF106;Biological sciences;0.09235482662916183;RDF107;Other natural sciences;0.02014276012778282;RDF102;Computer and information sciences;0.019048143178224564;RDF103;Physical sciences;0.0012776365038007498;RDF105;Earth and related environmental sciences;0.00035112080513499677
