;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.6983532905578613;RDF503;Education;0.3029576539993286;RDF504;Sociology and related studies;0.004625369794666767;RDF509;Other social sciences;0.0016199013916775584
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.5245690941810608;RDF203;Electrical engineering, computer engineering, and information engineering;0.44730302691459656;RDF212;Other engineering and technologies;0.4091985523700714;RDF211;Nano-technology;0.0009459475404582918
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.4826086461544037;RDF304;Medical biotechnology;0.7917835712432861;RDF301;Basic medicine and life sciences;0.6939520835876465;RDF305;Other medical sciences;0.0012020922731608152
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.595928966999054;RDF302;Clinical medicine;0.3196670413017273;RDF303;Health sciences;0.005043271463364363;RDF305;Other medical sciences;0.004081603605300188
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.5996312499046326;RDF211;Nano-technology;0.9946672320365906;RDF205;Chemical engineering;0.9706313014030457;RDF210;Industrial biotechnology;0.902478039264679
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.3965887725353241;RDF106;Biological sciences;0.8057305216789246;RDF107;Other natural sciences;0.12024593353271484;RDF105;Earth and related environmental sciences;0.11207634955644608
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.8642439842224121;RDF212;Other engineering and technologies;0.20516279339790344;RDF203;Electrical engineering, computer engineering, and information engineering;0.003056276123970747;RDF211;Nano-technology;3.416211256990209e-05
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9881299734115601;RDF205;Chemical engineering;0.9977952241897583;RDF206;Materials engineering and resources engineering;0.7206757068634033;RDF210;Industrial biotechnology;0.6185116171836853
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9937145113945007;RDF605;Other humanities;0.57430499792099;RDF601;History, archaeology and related studies;0.43856239318847656;RDF602;Languages and literature;0.2862347662448883
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF10;Natural sciences;0.36906588077545166;RDF106;Biological sciences;0.09235482662916183;RDF107;Other natural sciences;0.02014276012778282;RDF102;Computer and information sciences;0.019048143178224564
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.6265819668769836;RDF301;Basic medicine and life sciences;0.0019117055926471949;RDF302;Clinical medicine;0.0006587530369870365;RDF304;Medical biotechnology;0.0006162687204778194
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.6307642459869385;RDF603;Philosophy;0.9423844814300537;RDF605;Other humanities;0.4787531793117523;RDF601;History, archaeology and related studies;0.00023965156287886202
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.5338932275772095;RDF304;Medical biotechnology;0.403097540140152;RDF301;Basic medicine and life sciences;0.2700779438018799;RDF305;Other medical sciences;0.009450075216591358
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF20-21;Engineering and technology;0.5810548067092896;RDF212;Other engineering and technologies;0.2546651363372803;RDF207;Medical and biomedical engineering;0.19428901374340057;RDF210;Industrial biotechnology;0.06503833830356598
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF10;Natural sciences;0.5924634337425232;RDF106;Biological sciences;0.9901442527770996;RDF107;Other natural sciences;0.21774372458457947;RDF103;Physical sciences;0.0007150291930884123
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.5316938757896423;RDF302;Clinical medicine;0.12986186146736145;RDF303;Health sciences;0.00597783038392663;RDF301;Basic medicine and life sciences;0.00313785788603127
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);RDF50;Social sciences;0.6596198081970215;RDF503;Education;0.9749165177345276;RDF504;Sociology and related studies;0.21922722458839417;RDF509;Other social sciences;0.011413658037781715
