;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF40;Agricultural and veterinary sciences;0.24648083746433258;RDF30;Medical, health and life sciences;0.2361925095319748;RDF20-21;Engineering and technology;0.20075957477092743;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9735011458396912;RDF506;Political science and policy administration;0.9194601774215698;RDF203;Electrical engineering, computer engineering, and information engineering;0.8060799241065979;RDF503;Education;0.7195306420326233;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.6595805287361145
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.9166847467422485;RDF50;Social sciences;0.02664359286427498;RDF30;Medical, health and life sciences;0.025813784450292587;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9976447224617004;RDF508;Media and communications;0.9901060461997986;RDF506;Political science and policy administration;0.9602391719818115;RDF203;Electrical engineering, computer engineering, and information engineering;0.9214583039283752;RDF104;Chemical sciences;0.7562620043754578
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.2889545261859894;RDF20-21;Engineering and technology;0.19871534407138824;RDF40;Agricultural and veterinary sciences;0.19251184165477753;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9989902973175049;RDF506;Political science and policy administration;0.995098888874054;RDF207;Medical and biomedical engineering;0.9775619506835938;RDF305;Other medical sciences;0.9738743305206299;RDF304;Medical biotechnology;0.9693204164505005
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.41832059621810913;RDF20-21;Engineering and technology;0.253110408782959;RDF40;Agricultural and veterinary sciences;0.21047981083393097;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9985664486885071;RDF506;Political science and policy administration;0.9011871218681335;RDF104;Chemical sciences;0.7026998400688171;RDF203;Electrical engineering, computer engineering, and information engineering;0.7009859085083008;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.6673949956893921
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.8851562738418579;RDF30;Medical, health and life sciences;0.05088239908218384;RDF40;Agricultural and veterinary sciences;0.029761916026473045;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9992290139198303;RDF205;Chemical engineering;0.997366189956665;RDF207;Medical and biomedical engineering;0.9964684247970581;RDF211;Nano-technology;0.9938722252845764;RDF506;Political science and policy administration;0.9898301362991333
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.262737900018692;RDF40;Agricultural and veterinary sciences;0.19112658500671387;RDF20-21;Engineering and technology;0.18369048833847046;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9997199177742004;RDF506;Political science and policy administration;0.9990905523300171;RDF405;Other agricultural sciences;0.9979914426803589;RDF305;Other medical sciences;0.9958263635635376;RDF107;Other natural sciences;0.9863329529762268
6;Design and Management of Fog Networks (Computer Science);RDF40;Agricultural and veterinary sciences;0.38467922806739807;RDF30;Medical, health and life sciences;0.29896044731140137;RDF20-21;Engineering and technology;0.2464531660079956;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9987350702285767;RDF203;Electrical engineering, computer engineering, and information engineering;0.8537436127662659;RDF103;Physical sciences;0.8050485253334045;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.6907141208648682;RDF104;Chemical sciences;0.5358110666275024
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF30;Medical, health and life sciences;0.29628661274909973;RDF40;Agricultural and veterinary sciences;0.2678282856941223;RDF20-21;Engineering and technology;0.20832961797714233;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9993933439254761;RDF205;Chemical engineering;0.998843789100647;RDF506;Political science and policy administration;0.9748008251190186;RDF305;Other medical sciences;0.9442597031593323;RDF405;Other agricultural sciences;0.9155994057655334
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF20-21;Engineering and technology;0.2743811309337616;RDF40;Agricultural and veterinary sciences;0.23481130599975586;RDF30;Medical, health and life sciences;0.1999223828315735;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9996101260185242;RDF506;Political science and policy administration;0.9975756406784058;RDF503;Education;0.8586273193359375;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8308780789375305;RDF401;Agriculture, forestry, and fisheries;0.7704583406448364
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.25457990169525146;RDF50;Social sciences;0.2236241102218628;RDF20-21;Engineering and technology;0.2000906616449356;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9996289014816284;RDF506;Political science and policy administration;0.998399555683136;RDF203;Electrical engineering, computer engineering, and information engineering;0.9318850040435791;RDF305;Other medical sciences;0.9171607494354248;RDF503;Education;0.9138853549957275
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.2848215401172638;RDF20-21;Engineering and technology;0.21637994050979614;RDF40;Agricultural and veterinary sciences;0.18224266171455383;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9969130158424377;RDF506;Political science and policy administration;0.9929066896438599;RDF203;Electrical engineering, computer engineering, and information engineering;0.7679750323295593;RDF104;Chemical sciences;0.7218666672706604;RDF501;Psychology and cognitive sciences;0.6962031126022339
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.6509584784507751;RDF20-21;Engineering and technology;0.1726999431848526;RDF40;Agricultural and veterinary sciences;0.06819184869527817;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9958428740501404;RDF104;Chemical sciences;0.8184545636177063;RDF203;Electrical engineering, computer engineering, and information engineering;0.6467303037643433;RDF404;Agricultural biotechnology and food sciences;0.5484867691993713;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.4997605085372925
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.31889820098876953;RDF40;Agricultural and veterinary sciences;0.20329438149929047;RDF50;Social sciences;0.16726838052272797;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9992406964302063;RDF506;Political science and policy administration;0.9934897422790527;RDF503;Education;0.8739672303199768;RDF203;Electrical engineering, computer engineering, and information engineering;0.855898916721344;RDF404;Agricultural biotechnology and food sciences;0.8168936967849731
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.2791127860546112;RDF20-21;Engineering and technology;0.27806758880615234;RDF40;Agricultural and veterinary sciences;0.1883615255355835;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9992682933807373;RDF305;Other medical sciences;0.9693261384963989;RDF207;Medical and biomedical engineering;0.9684154987335205;RDF107;Other natural sciences;0.955923318862915;RDF404;Agricultural biotechnology and food sciences;0.8815706372261047
