;sequence;labels;scores
0;a;b;c
1;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques;['Engineering and technology', 'Medical, health and life sciences', 'Social sciences', 'Agricultural and veterinary sciences', 'Natural sciences', 'Humanities and the arts'];[0.5717268586158752, 0.1193823590874672, 0.09303618967533112, 0.08734160661697388, 0.07661674916744232, 0.05189618095755577]
2;High-tech paper: Security printing and the aesthetics of trust;['Engineering and technology', 'Social sciences', 'Humanities and the arts', 'Natural sciences', 'Agricultural and veterinary sciences', 'Medical, health and life sciences'];[0.4661268889904022, 0.14082686603069305, 0.13064046204090118, 0.12596429884433746, 0.07074932008981705, 0.06569214910268784]
3;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers;['Medical, health and life sciences', 'Engineering and technology', 'Natural sciences', 'Social sciences', 'Humanities and the arts', 'Agricultural and veterinary sciences'];[0.4396478235721588, 0.20400741696357727, 0.17606985569000244, 0.1008390560746193, 0.04656102880835533, 0.03287477791309357]
4;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being;['Medical, health and life sciences', 'Social sciences', 'Natural sciences', 'Humanities and the arts', 'Engineering and technology', 'Agricultural and veterinary sciences'];[0.5700836777687073, 0.19961678981781006, 0.07802511006593704, 0.06717021763324738, 0.044952619820833206, 0.04015157371759415]
5;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications;['Engineering and technology', 'Medical, health and life sciences', 'Natural sciences', 'Social sciences', 'Agricultural and veterinary sciences', 'Humanities and the arts'];[0.8450031280517578, 0.11752299219369888, 0.011287014931440353, 0.010295605286955833, 0.008403747342526913, 0.007487485185265541]
6;Interactions between attention, perception and reaching movements;['Social sciences', 'Humanities and the arts', 'Natural sciences', 'Medical, health and life sciences', 'Agricultural and veterinary sciences', 'Engineering and technology'];[0.24987106025218964, 0.22483183443546295, 0.17755208909511566, 0.17741592228412628, 0.09529964625835419, 0.07502950727939606]
7;Design and Management of Fog Networks;['Engineering and technology', 'Natural sciences', 'Social sciences', 'Humanities and the arts', 'Medical, health and life sciences', 'Agricultural and veterinary sciences'];[0.8887478113174438, 0.03987736999988556, 0.030977031216025352, 0.013937749899923801, 0.013792741112411022, 0.01266731321811676]
8;Polymer Porous Fibrous Structures with Antiviral Properties;['Engineering and technology', 'Medical, health and life sciences', 'Natural sciences', 'Agricultural and veterinary sciences', 'Social sciences', 'Humanities and the arts'];[0.6365694403648376, 0.22178427875041962, 0.07217920571565628, 0.028076311573386192, 0.02132451720535755, 0.020066164433956146]
9;L'art Noir: cartographies for an emerging field;['Humanities and the arts', 'Medical, health and life sciences', 'Natural sciences', 'Agricultural and veterinary sciences', 'Social sciences', 'Engineering and technology'];[0.5764843225479126, 0.1071016788482666, 0.09637808799743652, 0.08764740824699402, 0.07997360080480576, 0.052414894104003906]
10;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;['Engineering and technology', 'Medical, health and life sciences', 'Social sciences', 'Natural sciences', 'Humanities and the arts', 'Agricultural and veterinary sciences'];[0.40764227509498596, 0.4012155830860138, 0.07207951694726944, 0.05869993194937706, 0.036099955439567566, 0.024262692779302597]
11;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);['Medical, health and life sciences', 'Social sciences', 'Engineering and technology', 'Natural sciences', 'Agricultural and veterinary sciences', 'Humanities and the arts'];[0.7244164943695068, 0.07928348332643509, 0.0621282160282135, 0.054491255432367325, 0.03999779373407364, 0.03968271240592003]
12;Tenrikyo and the Rise and Fall of New Religions in Japan;['Social sciences', 'Natural sciences', 'Agricultural and veterinary sciences', 'Medical, health and life sciences', 'Humanities and the arts', 'Engineering and technology'];[0.2932795286178589, 0.17485672235488892, 0.1479794979095459, 0.13856543600559235, 0.13685232400894165, 0.1084664836525917]
