;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Constitutional Legacies of the Judicial Committee of the Privy Council;RDF60;Humanities and the arts;0.197541475296021;RDF50;Social sciences;0.191733852028847;RDF30;Medical, health and life sciences;0.173436343669891;RDF10;Natural sciences;0.153770908713341;RDF20-21;Engineering and technology;0.144865244626999;RDF40;Agricultural and veterinary sciences;0.138652086257935
1;Dynamic Games in Management;RDF50;Social sciences;0.198472931981087;RDF20-21;Engineering and technology;0.182753309607506;RDF60;Humanities and the arts;0.164258688688278;RDF10;Natural sciences;0.160924062132835;RDF30;Medical, health and life sciences;0.152369648218155;RDF40;Agricultural and veterinary sciences;0.141221389174461
2;Chez soi jusqu'à la fin? Entre désirs et possibilités de mourir à domicile;RDF60;Humanities and the arts;0.200324714183807;RDF20-21;Engineering and technology;0.199029430747032;RDF30;Medical, health and life sciences;0.175777956843376;RDF50;Social sciences;0.1739152520895;RDF10;Natural sciences;0.146723508834839;RDF40;Agricultural and veterinary sciences;0.104229152202606
3;A statistical perspective for some challenges in data science;RDF10;Natural sciences;0.20108537375927;RDF60;Humanities and the arts;0.190177604556084;RDF20-21;Engineering and technology;0.179773479700089;RDF50;Social sciences;0.172174870967865;RDF30;Medical, health and life sciences;0.154363870620728;RDF40;Agricultural and veterinary sciences;0.102424755692482
4;A Semantic Parsing Approach to Open-world Knowledge Graph Question Answering;RDF20-21;Engineering and technology;0.201606884598732;RDF30;Medical, health and life sciences;0.192516431212425;RDF10;Natural sciences;0.165044724941254;RDF50;Social sciences;0.155833467841148;RDF60;Humanities and the arts;0.155396655201912;RDF40;Agricultural and veterinary sciences;0.129601836204529
5;Bayesian deep-learning prediction with sparse graphs;RDF20-21;Engineering and technology;0.204899966716766;RDF50;Social sciences;0.197852313518524;RDF30;Medical, health and life sciences;0.191126704216003;RDF10;Natural sciences;0.15981237590313;RDF60;Humanities and the arts;0.150242999196053;RDF40;Agricultural and veterinary sciences;0.0960656404495239
6;Pricing and Profitability in Non-Life Insurance;RDF50;Social sciences;0.207231715321541;RDF10;Natural sciences;0.197976410388947;RDF40;Agricultural and veterinary sciences;0.180282786488533;RDF60;Humanities and the arts;0.155563443899155;RDF20-21;Engineering and technology;0.137544184923172;RDF30;Medical, health and life sciences;0.121401451528072
7;The Eastern Canada Preparedness Hub - ECaPH;RDF20-21;Engineering and technology;0.209307864308357;RDF50;Social sciences;0.170994326472282;RDF10;Natural sciences;0.166614949703217;RDF30;Medical, health and life sciences;0.155674248933792;RDF40;Agricultural and veterinary sciences;0.153829112648964;RDF60;Humanities and the arts;0.143579497933388
8;Logistics and transportation;RDF20-21;Engineering and technology;0.209388837218285;RDF10;Natural sciences;0.19806744158268;RDF50;Social sciences;0.173481911420822;RDF30;Medical, health and life sciences;0.144595876336098;RDF40;Agricultural and veterinary sciences;0.140098676085472;RDF60;Humanities and the arts;0.134367302060127
9;The hardening of soft information in financial markets;RDF50;Social sciences;0.213032573461533;RDF10;Natural sciences;0.192260026931763;RDF20-21;Engineering and technology;0.188787341117859;RDF40;Agricultural and veterinary sciences;0.144900754094124;RDF60;Humanities and the arts;0.138510420918465;RDF30;Medical, health and life sciences;0.122508890926838
