;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Éducation et travail social);RDF20-21;Engineering and technology;0.4945116341114044;RDF50;Social sciences;0.32529115676879883;RDF60;Humanities and the arts;0.049412623047828674;RDF30;Medical, health and life sciences;0.04868645220994949;RDF40;Agricultural and veterinary sciences;0.045922014862298965;RDF10;Natural sciences;0.03617611899971962
1;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes (nan);RDF30;Medical, health and life sciences;0.4407622218132019;RDF20-21;Engineering and technology;0.22439785301685333;RDF50;Social sciences;0.11855697631835938;RDF60;Humanities and the arts;0.07832463830709457;RDF40;Agricultural and veterinary sciences;0.0694756805896759;RDF10;Natural sciences;0.06848274171352386
2;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Éducation et travail social);RDF50;Social sciences;0.3516865670681;RDF20-21;Engineering and technology;0.30737820267677307;RDF30;Medical, health and life sciences;0.10677764564752579;RDF60;Humanities and the arts;0.09360207617282867;RDF40;Agricultural and veterinary sciences;0.07334792613983154;RDF10;Natural sciences;0.06720758974552155
3;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Science politique et administration publique);RDF50;Social sciences;0.7495391368865967;RDF20-21;Engineering and technology;0.06623239070177078;RDF10;Natural sciences;0.052898865193128586;RDF30;Medical, health and life sciences;0.04689794406294823;RDF40;Agricultural and veterinary sciences;0.043487098067998886;RDF60;Humanities and the arts;0.040944572538137436
4;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur (nan);RDF20-21;Engineering and technology;0.7182328104972839;RDF10;Natural sciences;0.15998560190200806;RDF40;Agricultural and veterinary sciences;0.06171022728085518;RDF30;Medical, health and life sciences;0.02097041718661785;RDF60;Humanities and the arts;0.020680392161011696;RDF50;Social sciences;0.018420560285449028
5;La nouvelle politique de la redistribution (Science politique et administration publique);RDF50;Social sciences;0.6411781907081604;RDF30;Medical, health and life sciences;0.09950000792741776;RDF10;Natural sciences;0.07930222898721695;RDF20-21;Engineering and technology;0.0700451210141182;RDF40;Agricultural and veterinary sciences;0.057963721454143524;RDF60;Humanities and the arts;0.05201072245836258
6;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Éducation et travail social);RDF60;Humanities and the arts;0.4656670391559601;RDF50;Social sciences;0.32108715176582336;RDF20-21;Engineering and technology;0.08852498233318329;RDF10;Natural sciences;0.051811762154102325;RDF30;Medical, health and life sciences;0.04644625261425972;RDF40;Agricultural and veterinary sciences;0.026462819427251816
7;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Géographie, urbanisme et domaines connexes);RDF50;Social sciences;0.2945820689201355;RDF20-21;Engineering and technology;0.20265477895736694;RDF10;Natural sciences;0.15478086471557617;RDF60;Humanities and the arts;0.13464424014091492;RDF40;Agricultural and veterinary sciences;0.11667786538600922;RDF30;Medical, health and life sciences;0.09666018187999725
8;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles) (nan);RDF30;Medical, health and life sciences;0.3329908847808838;RDF60;Humanities and the arts;0.3272763788700104;RDF50;Social sciences;0.11475017666816711;RDF10;Natural sciences;0.08815181255340576;RDF40;Agricultural and veterinary sciences;0.06914987415075302;RDF20-21;Engineering and technology;0.06768085062503815
9;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale (nan);RDF60;Humanities and the arts;0.4685738980770111;RDF30;Medical, health and life sciences;0.22887015342712402;RDF10;Natural sciences;0.20765329897403717;RDF40;Agricultural and veterinary sciences;0.04921703785657883;RDF50;Social sciences;0.02864774316549301;RDF20-21;Engineering and technology;0.01703784242272377
10;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé (Études autochtones);RDF30;Medical, health and life sciences;0.34295639395713806;RDF10;Natural sciences;0.2897608280181885;RDF50;Social sciences;0.14438851177692413;RDF60;Humanities and the arts;0.12300568073987961;RDF40;Agricultural and veterinary sciences;0.06578250229358673;RDF20-21;Engineering and technology;0.034106019884347916
11;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie (Sciences sociales multi- ou interdisciplinaires);RDF50;Social sciences;0.6230141520500183;RDF60;Humanities and the arts;0.3126608729362488;RDF20-21;Engineering and technology;0.05284302309155464;RDF30;Medical, health and life sciences;0.0054378872737288475;RDF10;Natural sciences;0.0034844663459807634;RDF40;Agricultural and veterinary sciences;0.002559577114880085
12;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra (nan);RDF60;Humanities and the arts;0.644902765750885;RDF20-21;Engineering and technology;0.18906018137931824;RDF10;Natural sciences;0.048378195613622665;RDF40;Agricultural and veterinary sciences;0.045032400637865067;RDF50;Social sciences;0.038974329829216;RDF30;Medical, health and life sciences;0.033652134239673615
13;Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui (Beaux-arts, recherche-création);RDF60;Humanities and the arts;0.7824215292930603;RDF20-21;Engineering and technology;0.1270839273929596;RDF50;Social sciences;0.051210857927799225;RDF30;Medical, health and life sciences;0.01593567058444023;RDF10;Natural sciences;0.014340451918542385;RDF40;Agricultural and veterinary sciences;0.009007514454424381
14;Environnement, médias, archives : une anatomie contemporaine de la mélancolie et de la nostalgie (Beaux-arts, recherche-création);RDF60;Humanities and the arts;0.7322120666503906;RDF30;Medical, health and life sciences;0.18420442938804626;RDF10;Natural sciences;0.033304352313280106;RDF20-21;Engineering and technology;0.031527694314718246;RDF40;Agricultural and veterinary sciences;0.011621883139014244;RDF50;Social sciences;0.007129634730517864
