;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.7913643717765808;RDF20-21;Engineering and technology;0.057442255318164825;RDF60;Humanities and the arts;0.04752252250909805;RDF10;Natural sciences;0.03975211828947067;RDF30;Medical, health and life sciences;0.032854288816452026;RDF40;Agricultural and veterinary sciences;0.031064430251717567
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF50;Social sciences;0.209711492061615;RDF60;Humanities and the arts;0.20902512967586517;RDF20-21;Engineering and technology;0.19106285274028778;RDF10;Natural sciences;0.1611292064189911;RDF40;Agricultural and veterinary sciences;0.11588503420352936;RDF30;Medical, health and life sciences;0.11318622529506683
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF20-21;Engineering and technology;0.4175351858139038;RDF10;Natural sciences;0.14758938550949097;RDF30;Medical, health and life sciences;0.1342972069978714;RDF50;Social sciences;0.12932521104812622;RDF60;Humanities and the arts;0.08805318176746368;RDF40;Agricultural and veterinary sciences;0.08319978415966034
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF50;Social sciences;0.6556686162948608;RDF30;Medical, health and life sciences;0.26601019501686096;RDF10;Natural sciences;0.026591362431645393;RDF60;Humanities and the arts;0.02192581817507744;RDF20-21;Engineering and technology;0.015570223331451416;RDF40;Agricultural and veterinary sciences;0.014233721420168877
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.5314170122146606;RDF10;Natural sciences;0.15488754212856293;RDF30;Medical, health and life sciences;0.09525077044963837;RDF50;Social sciences;0.07777217030525208;RDF40;Agricultural and veterinary sciences;0.07350175082683563;RDF60;Humanities and the arts;0.0671706423163414
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.6720089316368103;RDF30;Medical, health and life sciences;0.2082793116569519;RDF40;Agricultural and veterinary sciences;0.03308316692709923;RDF50;Social sciences;0.030474716797471046;RDF20-21;Engineering and technology;0.02811633050441742;RDF60;Humanities and the arts;0.0280375424772501
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.6864376068115234;RDF10;Natural sciences;0.08479335159063339;RDF50;Social sciences;0.07529817521572113;RDF60;Humanities and the arts;0.055487342178821564;RDF40;Agricultural and veterinary sciences;0.05531614273786545;RDF30;Medical, health and life sciences;0.04266743361949921
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9289535284042358;RDF30;Medical, health and life sciences;0.021957240998744965;RDF10;Natural sciences;0.015881694853305817;RDF40;Agricultural and veterinary sciences;0.011867213062942028;RDF50;Social sciences;0.011326023377478123;RDF60;Humanities and the arts;0.010014398954808712
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.8989918231964111;RDF50;Social sciences;0.02608867548406124;RDF10;Natural sciences;0.023888181895017624;RDF40;Agricultural and veterinary sciences;0.018756775185465813;RDF20-21;Engineering and technology;0.017145443707704544;RDF30;Medical, health and life sciences;0.015129112638533115
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders (nan);RDF20-21;Engineering and technology;0.37263059616088867;RDF30;Medical, health and life sciences;0.351951539516449;RDF50;Social sciences;0.09401994198560715;RDF10;Natural sciences;0.08967865258455276;RDF60;Humanities and the arts;0.05248720198869705;RDF40;Agricultural and veterinary sciences;0.039232056587934494
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE) (nan);RDF30;Medical, health and life sciences;0.614900529384613;RDF50;Social sciences;0.11404590308666229;RDF20-21;Engineering and technology;0.10234789550304413;RDF10;Natural sciences;0.07723193615674973;RDF60;Humanities and the arts;0.04577324911952019;RDF40;Agricultural and veterinary sciences;0.04570041596889496
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.6166335344314575;RDF50;Social sciences;0.09367343038320541;RDF10;Natural sciences;0.0900648832321167;RDF40;Agricultural and veterinary sciences;0.07576694339513779;RDF20-21;Engineering and technology;0.06553153693675995;RDF30;Medical, health and life sciences;0.058329690247774124
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.548882007598877;RDF30;Medical, health and life sciences;0.1983163207769394;RDF20-21;Engineering and technology;0.07606176286935806;RDF50;Social sciences;0.07198409736156464;RDF60;Humanities and the arts;0.05362049862742424;RDF40;Agricultural and veterinary sciences;0.05113527551293373
