;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.7206400632858276;RDF20-21;Engineering and technology;0.11318156868219376;RDF10;Natural sciences;0.05425648391246796;RDF503;Education;0.8650001287460327;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.7060590982437134;RDF203;Electrical engineering, computer engineering, and information engineering;0.08521580696105957;RDF105;Earth and related environmental sciences;0.05906980112195015;RDF509;Other social sciences;0.02865482121706009
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF50;Social sciences;0.2514958381652832;RDF20-21;Engineering and technology;0.24573953449726105;RDF40;Agricultural and veterinary sciences;0.15244972705841064;RDF508;Media and communications;0.9596655368804932;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.10481981188058853;RDF211;Nano-technology;0.019426094368100166;RDF203;Electrical engineering, computer engineering, and information engineering;0.015104589983820915;RDF506;Political science and policy administration;0.011735730804502964
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.26657047867774963;RDF60;Humanities and the arts;0.2440565973520279;RDF20-21;Engineering and technology;0.2161582112312317;RDF301;Basic medicine and life sciences;0.12488589435815811;RDF211;Nano-technology;0.05596921592950821;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.033946551382541656;RDF304;Medical biotechnology;0.027977829799056053;RDF302;Clinical medicine;0.021389467641711235
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.23939013481140137;RDF50;Social sciences;0.22130082547664642;RDF60;Humanities and the arts;0.1828518956899643;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.3110801875591278;RDF504;Sociology and related studies;0.04603565111756325;RDF501;Psychology and cognitive sciences;0.027027713134884834;RDF303;Health sciences;0.012185296975076199;RDF203;Electrical engineering, computer engineering, and information engineering;0.00873518455773592
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.7444721460342407;RDF10;Natural sciences;0.07513195276260376;RDF40;Agricultural and veterinary sciences;0.052266158163547516;RDF205;Chemical engineering;0.9954207539558411;RDF211;Nano-technology;0.9475173354148865;RDF104;Chemical sciences;0.8876123428344727;RDF210;Industrial biotechnology;0.011225549504160881;RDF301;Basic medicine and life sciences;0.00832277350127697
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.3492121696472168;RDF10;Natural sciences;0.17989248037338257;RDF40;Agricultural and veterinary sciences;0.1736142933368683;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.8999788761138916;RDF207;Medical and biomedical engineering;0.42382270097732544;RDF404;Agricultural biotechnology and food sciences;0.19667816162109375;RDF106;Biological sciences;0.1586550772190094;RDF304;Medical biotechnology;0.13006076216697693
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.2750886082649231;RDF40;Agricultural and veterinary sciences;0.23344101011753082;RDF30;Medical, health and life sciences;0.1913369596004486;RDF102;Computer and information sciences;0.9194352030754089;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.3941369354724884;RDF203;Electrical engineering, computer engineering, and information engineering;0.020596502348780632;RDF211;Nano-technology;0.008491049520671368;RDF404;Agricultural biotechnology and food sciences;0.00676828995347023
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.6023015379905701;RDF30;Medical, health and life sciences;0.1285054236650467;RDF40;Agricultural and veterinary sciences;0.0914427861571312;RDF205;Chemical engineering;0.862532913684845;RDF104;Chemical sciences;0.13235914707183838;RDF207;Medical and biomedical engineering;0.048750363290309906;RDF304;Medical biotechnology;0.045968182384967804;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.03920404240489006
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.5968537926673889;RDF30;Medical, health and life sciences;0.11753074824810028;RDF40;Agricultural and veterinary sciences;0.11588533967733383;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9665945768356323;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9359180927276611;RDF404;Agricultural biotechnology and food sciences;0.8947826027870178;RDF602;Languages and literature;0.8691452741622925;RDF601;History, archaeology and related studies;0.8174472451210022
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.408609002828598;RDF60;Humanities and the arts;0.19211170077323914;RDF20-21;Engineering and technology;0.14597171545028687;RDF207;Medical and biomedical engineering;0.9404882192611694;RDF305;Other medical sciences;0.7710577249526978;RDF501;Psychology and cognitive sciences;0.73679518699646;RDF304;Medical biotechnology;0.6249728202819824;RDF303;Health sciences;0.5865429043769836
