;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.7913643717765808;RDF20-21;Engineering and technology;0.057442255318164825;RDF60;Humanities and the arts;0.04752252250909805;RDF503;Education;0.7782279849052429;RDF509;Other social sciences;0.1549837440252304;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.006329969968646765;RDF101;Mathematics and statistics;0.002424574689939618;RDF211;Nano-technology;0.002403648104518652
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF50;Social sciences;0.209711492061615;RDF60;Humanities and the arts;0.20902512967586517;RDF20-21;Engineering and technology;0.19106285274028778;RDF508;Media and communications;0.9839543700218201;RDF509;Other social sciences;0.02468162402510643;RDF605;Other humanities;0.002575986087322235;RDF212;Other engineering and technologies;0.0015390128828585148;RDF102;Computer and information sciences;0.0013318504206836224
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF20-21;Engineering and technology;0.4175351858139038;RDF10;Natural sciences;0.14758938550949097;RDF30;Medical, health and life sciences;0.1342972069978714;RDF304;Medical biotechnology;0.002846714574843645;RDF207;Medical and biomedical engineering;0.0013775944244116545;RDF211;Nano-technology;0.0011075143702328205;RDF501;Psychology and cognitive sciences;0.0010496297618374228;RDF212;Other engineering and technologies;0.000807601900305599
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF50;Social sciences;0.6556686162948608;RDF30;Medical, health and life sciences;0.26601019501686096;RDF10;Natural sciences;0.026591362431645393;RDF303;Health sciences;0.8357924818992615;RDF504;Sociology and related studies;0.0445789098739624;RDF509;Other social sciences;0.0073956032283604145;RDF602;Languages and literature;0.007144781295210123;RDF302;Clinical medicine;0.0022677963133901358
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.5314170122146606;RDF10;Natural sciences;0.15488754212856293;RDF30;Medical, health and life sciences;0.09525077044963837;RDF104;Chemical sciences;0.9983072876930237;RDF205;Chemical engineering;0.9810040593147278;RDF211;Nano-technology;0.7004879713058472;RDF212;Other engineering and technologies;0.0009193712612614036;RDF210;Industrial biotechnology;0.0006793912616558373
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.6720089316368103;RDF30;Medical, health and life sciences;0.2082793116569519;RDF40;Agricultural and veterinary sciences;0.03308316692709923;RDF106;Biological sciences;0.9680203795433044;RDF301;Basic medicine and life sciences;0.059118133038282394;RDF207;Medical and biomedical engineering;0.047388698905706406;RDF401;Agriculture, forestry, and fisheries;0.011233457364141941;RDF304;Medical biotechnology;0.008456024341285229
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.6864376068115234;RDF10;Natural sciences;0.08479335159063339;RDF50;Social sciences;0.07529817521572113;RDF102;Computer and information sciences;0.9884709715843201;RDF203;Electrical engineering, computer engineering, and information engineering;0.17529809474945068;RDF212;Other engineering and technologies;0.0007559736259281635;RDF211;Nano-technology;0.00025798517162911594;RDF105;Earth and related environmental sciences;0.00014918648230377585
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9289535284042358;RDF30;Medical, health and life sciences;0.021957240998744965;RDF10;Natural sciences;0.015881694853305817;RDF205;Chemical engineering;0.6679951548576355;RDF104;Chemical sciences;0.583689272403717;RDF206;Materials engineering and resources engineering;0.011089175939559937;RDF304;Medical biotechnology;0.0044990964233875275;RDF401;Agriculture, forestry, and fisheries;0.0011730518890544772
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.8989918231964111;RDF50;Social sciences;0.02608867548406124;RDF10;Natural sciences;0.023888181895017624;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.47416990995407104;RDF504;Sociology and related studies;0.21117250621318817;RDF601;History, archaeology and related studies;0.13058993220329285;RDF603;Philosophy;0.08095457404851913;RDF602;Languages and literature;0.05386902764439583
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF20-21;Engineering and technology;0.40764227509498596;RDF30;Medical, health and life sciences;0.4012155830860138;RDF50;Social sciences;0.07207951694726944;RDF303;Health sciences;0.67829829454422;RDF207;Medical and biomedical engineering;0.5785568952560425;RDF302;Clinical medicine;0.2944139838218689;RDF304;Medical biotechnology;0.24883846938610077;RDF301;Basic medicine and life sciences;0.18863767385482788
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.7244164943695068;RDF50;Social sciences;0.07928348332643509;RDF20-21;Engineering and technology;0.0621282160282135;RDF303;Health sciences;0.8023361563682556;RDF302;Clinical medicine;0.40108081698417664;RDF207;Medical and biomedical engineering;0.07497048377990723;RDF602;Languages and literature;0.007173025049269199;RDF304;Medical biotechnology;0.00626375712454319
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.6166335344314575;RDF50;Social sciences;0.09367343038320541;RDF10;Natural sciences;0.0900648832321167;RDF605;Other humanities;0.17919321358203888;RDF603;Philosophy;0.06196196749806404;RDF602;Languages and literature;0.005009605549275875;RDF509;Other social sciences;0.003281947923824191;RDF503;Education;0.0010357860010117292
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.548882007598877;RDF30;Medical, health and life sciences;0.1983163207769394;RDF20-21;Engineering and technology;0.07606176286935806;RDF106;Biological sciences;0.9219433665275574;RDF301;Basic medicine and life sciences;0.024563157930970192;RDF207;Medical and biomedical engineering;0.000562318426091224;RDF304;Medical biotechnology;0.00024108988873194903;RDF105;Earth and related environmental sciences;0.0002355203323531896
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF20-21;Engineering and technology;0.44587385654449463;RDF30;Medical, health and life sciences;0.24713034927845;RDF10;Natural sciences;0.21613501012325287;RDF106;Biological sciences;0.7895134091377258;RDF304;Medical biotechnology;0.39017370343208313;RDF207;Medical and biomedical engineering;0.35234105587005615;RDF211;Nano-technology;0.17867548763751984;RDF301;Basic medicine and life sciences;0.1550474315881729
