;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.7913643717765808;RDF503;Education;0.7782279849052429;RDF509;Other social sciences;0.1549837440252304;RDF504;Sociology and related studies;0.002054984914138913
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF50;Social sciences;0.209711492061615;RDF508;Media and communications;0.9839543700218201;RDF509;Other social sciences;0.02468162402510643;RDF503;Education;0.0004142734396737069
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF20-21;Engineering and technology;0.4175351858139038;RDF207;Medical and biomedical engineering;0.0013775944244116545;RDF211;Nano-technology;0.0011075143702328205;RDF212;Other engineering and technologies;0.000807601900305599
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF50;Social sciences;0.6556686162948608;RDF504;Sociology and related studies;0.0445789098739624;RDF509;Other social sciences;0.0073956032283604145;RDF501;Psychology and cognitive sciences;0.0013561253435909748
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.5314170122146606;RDF205;Chemical engineering;0.9810040593147278;RDF211;Nano-technology;0.7004879713058472;RDF212;Other engineering and technologies;0.0009193712612614036
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.6720089316368103;RDF106;Biological sciences;0.9680203795433044;RDF105;Earth and related environmental sciences;0.00070660759229213;RDF107;Other natural sciences;0.0004164680722169578
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.6864376068115234;RDF203;Electrical engineering, computer engineering, and information engineering;0.17529809474945068;RDF212;Other engineering and technologies;0.0007559736259281635;RDF211;Nano-technology;0.00025798517162911594
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9289535284042358;RDF205;Chemical engineering;0.6679951548576355;RDF206;Materials engineering and resources engineering;0.011089175939559937;RDF210;Industrial biotechnology;0.001066513010300696
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.8989918231964111;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.47416990995407104;RDF601;History, archaeology and related studies;0.13058993220329285;RDF603;Philosophy;0.08095457404851913
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF20-21;Engineering and technology;0.40764227509498596;RDF207;Medical and biomedical engineering;0.5785568952560425;RDF212;Other engineering and technologies;0.049820397049188614;RDF211;Nano-technology;0.01157805323600769
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.7244164943695068;RDF303;Health sciences;0.8023361563682556;RDF302;Clinical medicine;0.40108081698417664;RDF304;Medical biotechnology;0.00626375712454319
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.6166335344314575;RDF605;Other humanities;0.17919321358203888;RDF603;Philosophy;0.06196196749806404;RDF602;Languages and literature;0.005009605549275875
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.548882007598877;RDF106;Biological sciences;0.9219433665275574;RDF105;Earth and related environmental sciences;0.0002355203323531896;RDF107;Other natural sciences;0.00018638129404280335
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF20-21;Engineering and technology;0.44587385654449463;RDF207;Medical and biomedical engineering;0.35234105587005615;RDF211;Nano-technology;0.17867548763751984;RDF210;Industrial biotechnology;0.11067353188991547
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF30;Medical, health and life sciences;0.8784321546554565;RDF303;Health sciences;0.43626323342323303;RDF304;Medical biotechnology;0.008924809284508228;RDF301;Basic medicine and life sciences;0.007616323884576559
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.4259275794029236;RDF303;Health sciences;0.5330725908279419;RDF302;Clinical medicine;0.2766421437263489;RDF301;Basic medicine and life sciences;0.10493051260709763
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);RDF50;Social sciences;0.8919538855552673;RDF503;Education;0.725106954574585;RDF509;Other social sciences;0.46043166518211365;RDF504;Sociology and related studies;0.05011962726712227
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);RDF20-21;Engineering and technology;0.3053555488586426;RDF211;Nano-technology;0.01881689392030239;RDF212;Other engineering and technologies;0.000736353627871722;RDF202;Industrial, systems and processes engineering;0.00044518645154312253
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF20-21;Engineering and technology;0.4305732846260071;RDF208;Environmental engineering and related engineering;0.4546849727630615;RDF206;Materials engineering and resources engineering;0.13938306272029877;RDF202;Industrial, systems and processes engineering;0.13814009726047516
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Political science and public administration);RDF50;Social sciences;0.6426217555999756;RDF506;Political science and policy administration;0.9950382709503174;RDF509;Other social sciences;0.005740470718592405;RDF504;Sociology and related studies;0.0026099339593201876
20;Intentions or affect: Which is a key driver of physical activity? Using ecological momentary assessment to understand the intention-behaviour gap in schizophrenia spectrum disorders (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.9718623757362366;RDF504;Sociology and related studies;0.16347749531269073;RDF501;Psychology and cognitive sciences;0.07675261050462723;RDF509;Other social sciences;0.03136011213064194
21;Biophysical and genetic control of root growth;RDF20-21;Engineering and technology;0.5551735162734985;RDF210;Industrial biotechnology;0.19639012217521667;RDF207;Medical and biomedical engineering;0.1029014065861702;RDF212;Other engineering and technologies;0.06001661345362663
22;Open-source numerical strategy for the analysis and redesign of turbomachine blades accounting for nonlinear structural interactions;RDF20-21;Engineering and technology;0.8662151098251343;RDF202;Industrial, systems and processes engineering;0.6522809267044067;RDF212;Other engineering and technologies;0.14282317459583282;RDF204;Mechanical engineering;0.06181392818689346
