;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF50;Social sciences;0.7206400632858276;RDF503;Education;0.8650001287460327;RDF509;Other social sciences;0.02865482121706009;RDF504;Sociology and related studies;0.025253234431147575
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF50;Social sciences;0.2514958381652832;RDF508;Media and communications;0.9596655368804932;RDF506;Political science and policy administration;0.011735730804502964;RDF504;Sociology and related studies;0.00573565810918808
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.26657047867774963;RDF301;Basic medicine and life sciences;0.12488589435815811;RDF304;Medical biotechnology;0.027977829799056053;RDF302;Clinical medicine;0.021389467641711235
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.23939013481140137;RDF303;Health sciences;0.012185296975076199;RDF301;Basic medicine and life sciences;0.004572645761072636;RDF305;Other medical sciences;0.003734143450856209
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF20-21;Engineering and technology;0.7444721460342407;RDF205;Chemical engineering;0.9954207539558411;RDF211;Nano-technology;0.9475173354148865;RDF210;Industrial biotechnology;0.011225549504160881
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.3492121696472168;RDF304;Medical biotechnology;0.13006076216697693;RDF302;Clinical medicine;0.11146315187215805;RDF301;Basic medicine and life sciences;0.03589123114943504
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.2750886082649231;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.3941369354724884;RDF203;Electrical engineering, computer engineering, and information engineering;0.020596502348780632;RDF211;Nano-technology;0.008491049520671368
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.6023015379905701;RDF205;Chemical engineering;0.862532913684845;RDF207;Medical and biomedical engineering;0.048750363290309906;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.03920404240489006
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.5968537926673889;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9359180927276611;RDF602;Languages and literature;0.8691452741622925;RDF601;History, archaeology and related studies;0.8174472451210022
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.408609002828598;RDF305;Other medical sciences;0.7710577249526978;RDF304;Medical biotechnology;0.6249728202819824;RDF303;Health sciences;0.5865429043769836
