Education and social work;Éducation et travail social;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques
Communications, media studies, gender studies, library and information science, related fields;Communications, études médiatiques, études de genre, bibliothéconomie et sciences de l'information, domaines connexes;High-tech paper: Security printing and the aesthetics of trust
Systems & Circuits Neurosciences;Systèmes et circuits en neurosciences;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers
Social & Developmental Aspects of Children's & Youth's Health;Aspects sociaux et développementaux de la santé de l'enfant et de l'adolescent;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being
Chemistry;Chimie;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications
Biological Systems and Functions;Systèmes et fonctions biologiques;Interactions between attention, perception and reaching movements
Computer Science;Sciences informatiques;Design and Management of Fog Networks
Materials and Chemical Engineering;Génie chimique et des matériaux;Polymer Porous Fibrous Structures with Antiviral Properties
Multidisciplinary or interdisciplinary humanities;Sciences humaines multi- ou interdisciplinaires;L'art Noir: cartographies for an emerging field
;;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders
;;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE)
Philosophy, medieval studies, classics, religious;Philosophie, études classiques, religieuses et médiévales;Tenrikyo and the Rise and Fall of New Religions in Japan
Genes, Cells and Molecules;Gènes, cellules et molécules;Systems biology of size control in eukaryotes
Genes, Cells and Molecules;Gènes, cellules et molécules;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution
Cell Biology – Disease;Biologie cellulaire – Maladie;Neural repair in glaucoma: the role of insulin signaling
;;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes
Education and social work;Éducation et travail social;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse
Physics;Physique;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis
;;Fully-Lagrangian three-dimensional modelling of river ice jam initiation
Political science and public administration;Science politique et administration publique;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada
Multidisciplinary or interdisciplinary social sciences;Sciences sociales multi- ou interdisciplinaires;Intentions or affect: Which is a key driver of physical activity? Using ecological momentary assessment to understand the intention-behaviour gap in schizophrenia spectrum disorders
;;Biophysical and genetic control of root growth
;;Open-source numerical strategy for the analysis and redesign of turbomachine blades accounting for nonlinear structural interactions
Physics;Physique;Application of Boltzmann Transport Equation solutions to nuclear reactor physics and radiotherapy applications
;;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur
;;Interdisciplinary Canadian Collaborative ME Research Network
Political science and public administration;Science politique et administration publique;La nouvelle politique de la redistribution
Cardiovascular System – Vascular System;Système cardiovasculaire - Système vasculaire;Extracellular vesicles and their miR cargo to enhance ischemia-induced neovascularization in peripheral artery disease
;;Low-Dimensional Organic Materials for Energy, Electronic and Environment Applications
Genes, Cells and Molecules;Gènes, cellules et molécules;Histone protein supply and demand: life on a knife's edge
Mathematics and Statistics;Mathématiques et statistique;Bayesian deep-learning prediction with sparse graphs
History;Histoire;At the Edge of Soft Power: French Saint-Simonians and Nineteenth-Century Visions of Development
Mathematics and Statistics;Mathématiques et statistique;Random walks on random graphs in high dimensions
Biological Systems and Functions;Systèmes et fonctions biologiques;Roles, mechanisms of action and regulation of Hippo signaling in the testis
Biological Systems and Functions;Systèmes et fonctions biologiques;The role of the TGFB-SOX9 signaling pathway in brain angiogenesis
;;A randomized controlled trial comparing Virtual Reality Therapy to Supportive Therapy to reduce cannabis use in patients with psychotic disorders
Education and social work;Éducation et travail social;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage
;;Impact of insects by-products and phytogenics on the piglet's intestinal health
Geosciences;Géosciences;Response of the continental water cycle to greenhouse warming: evaluating, understanding and constraining Earth System Model projections
;;Why Do Green Products Suffer from Low Consumer Preference? An Explanation Based on Ease of Benefit Visualization and Price Fairness Perceptions
Geography, urban planning and related fields;Géographie, urbanisme et domaines connexes;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles
;;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles)
;;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale
;;The ethical challenges of Artificial Intelligence for start-ups
Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Integrating impacts from marine plastics in Life Cycle Assessment
;;A Semantic Parsing Approach to Open-world Knowledge Graph Question Answering
Indigenous research;Études autochtones;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé
;;Pathways for the digital economy: Adolescent digital literacies and InstaPoetry
Multidisciplinary or interdisciplinary social sciences;Sciences sociales multi- ou interdisciplinaires;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie
Biological Systems and Functions;Systèmes et fonctions biologiques;Bilingualism and attentional processes in the age and language proficiency continuum
